year,poll_type,source,source_file,source_page,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,confidence,data_origin,approval_status,evidence_text,notes,candidate_id
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,state,Uttar Pradesh,electorate,all voters,BJP,37.2,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",party_marginal_percent,b5739c93-85e1-4051-b563-1085540dbfe6
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,state,Uttar Pradesh,electorate,all voters,BSP,13.4,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",party_marginal_percent,9e06156c-e86a-406c-aa60-82db2d25758b
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,state,Uttar Pradesh,electorate,all voters,TMC,40.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",party_marginal_percent,b5600c2d-1b3a-418b-9393-29c3232702ec
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,state,Uttar Pradesh,electorate,all voters,AAP,10.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",party_marginal_percent,8995d238-714c-4b8e-9004-7801813907f7
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,state,Uttar Pradesh,electorate,all voters,SP,26.9,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",party_marginal_percent,f5c6d104-7e72-4030-8c4f-ed6fd8045581
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,109,state,Uttar Pradesh,electorate,all voters,Others,13.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 402 24.8 4: Don’t like at all 617 38.1 8: No response 370 22.8 Total 1621 100.0 Q29: If Vidhan Sabha or State elections are held in Uttar Pradesh tomorrow, which party will you vote for? N ",party_marginal_percent,92711a9e-fe72-45ae-8cb6-4a57a797d2da
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,state,Tamil Nadu,electorate,all voters,BJP,3.6,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",party_marginal_percent,9c030d7e-f620-403b-baab-a84e2d91a31f
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,state,Tamil Nadu,electorate,all voters,TMC,10.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",party_marginal_percent,c18608e9-2a14-450e-8304-666d144c6816
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,state,Tamil Nadu,electorate,all voters,AIADMK,15.1,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",party_marginal_percent,88cdc15a-0504-4841-b522-a856cd5e27ce
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,state,Tamil Nadu,electorate,all voters,DMK,40.1,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",party_marginal_percent,9ed65bc5-5676-4143-9a0a-3a4b79a4bc1c
