year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,duplicate_count,vote_shares_found,source_tables,source_pages,recommendation
2019,post_poll,national,,caste,,BJP,4,2.0;5.0;8.0;17.0,2019_post_poll_table_047.csv;2019_post_poll_table_305.csv;2019_post_poll_table_516.csv;2019_post_poll_table_719.csv,,manual_review_conflict
2019,post_poll,national,,caste,,INC,2,63.0;74.0,2019_post_poll_table_047.csv;2019_post_poll_table_305.csv,,manual_review_conflict
2019,post_poll,national,,caste,,INDIA,3,12.0;41.5;56.0,2019_post_poll_table_047.csv;2019_post_poll_table_161.csv;2019_post_poll_table_522.csv,,manual_review_conflict
2019,post_poll,national,,caste,,NDA,2,7.0;100.0,2019_post_poll_table_047.csv;2019_post_poll_table_198.csv,,manual_review_conflict
2019,post_poll,national,,caste,,Others,9,5.0;8.0;14.0;18.0;35.0;43.6;57.0;80.0;87.0,2019_post_poll_table_005.csv;2019_post_poll_table_029.csv;2019_post_poll_table_032.csv;2019_post_poll_table_047.csv;2019_post_poll_table_184.csv;2019_post_poll_table_188.csv;2019_post_poll_table_202.csv;2019_post_poll_table_305.csv;2019_post_poll_table_719.csv,,manual_review_conflict
2019,post_poll,national,,caste,,Regional,62,1.4;1.5;1.6;1.7;1.8;1.9;2.0;2.1;2.4;2.7;2.9;3.3;3.5;3.6;3.7;4.0;4.1;4.2;4.3;4.4;4.5;4.6;4.7;4.8;4.9;5.0;5.1;5.3;5.4;5.6;5.8;7.1;9.8;11.4;15.5;19.1;48.0;70.0;84.0;96.0;97.0;99.0;100.0,2019_post_poll_table_005.csv;2019_post_poll_table_025.csv;2019_post_poll_table_032.csv;2019_post_poll_table_106.csv;2019_post_poll_table_107.csv;2019_post_poll_table_108.csv;2019_post_poll_table_109.csv;2019_post_poll_table_110.csv;2019_post_poll_table_111.csv;2019_post_poll_table_112.csv;2019_post_poll_table_114.csv;2019_post_poll_table_116.csv;2019_post_poll_table_119.csv;2019_post_poll_table_120.csv;2019_post_poll_table_122.csv;2019_post_poll_table_123.csv;2019_post_poll_table_124.csv;2019_post_poll_table_126.csv;2019_post_poll_table_127.csv;2019_post_poll_table_128.csv;2019_post_poll_table_129.csv;2019_post_poll_table_130.csv;2019_post_poll_table_132.csv;2019_post_poll_table_133.csv;2019_post_poll_table_134.csv;2019_post_poll_table_135.csv;2019_post_poll_table_137.csv;2019_post_poll_table_138.csv;2019_post_poll_table_139.csv;2019_post_poll_table_140.csv;2019_post_poll_table_141.csv;2019_post_poll_table_143.csv;2019_post_poll_table_144.csv;2019_post_poll_table_145.csv;2019_post_poll_table_148.csv;2019_post_poll_table_149.csv;2019_post_poll_table_152.csv;2019_post_poll_table_153.csv;2019_post_poll_table_154.csv;2019_post_poll_table_157.csv;2019_post_poll_table_158.csv;2019_post_poll_table_163.csv;2019_post_poll_table_165.csv;2019_post_poll_table_166.csv;2019_post_poll_table_167.csv;2019_post_poll_table_168.csv;2019_post_poll_table_169.csv;2019_post_poll_table_170.csv;2019_post_poll_table_171.csv;2019_post_poll_table_172.csv;2019_post_poll_table_173.csv;2019_post_poll_table_175.csv;2019_post_poll_table_177.csv;2019_post_poll_table_305.csv;2019_post_poll_table_522.csv;2019_post_poll_table_679.csv;2019_post_poll_table_719.csv;2019_post_poll_table_764.csv;2019_post_poll_table_766.csv;2019_post_poll_table_767.csv;2019_post_poll_table_768.csv;2019_post_poll_table_771.csv,,manual_review_conflict
2019,post_poll,national,,caste,Valid,INC,2,7.9;17.8,2019_post_poll_table_145.csv;2019_post_poll_table_156.csv,,manual_review_conflict
2019,post_poll,national,,gender,,BJP,4,8.0;32.0;65.0;81.0,2019_post_poll_table_031.csv;2019_post_poll_table_492.csv;2019_post_poll_table_637.csv;2019_post_poll_table_786.csv,,manual_review_conflict
2019,post_poll,national,,gender,,NDA,2,64.0;100.0,2019_post_poll_table_197.csv;2019_post_poll_table_492.csv,,manual_review_conflict
2019,post_poll,national,,gender,,Others,23,0.0;3.0;4.0;10.0;11.0;14.0;20.0;22.0;29.0;30.0;33.0;40.0;42.0;60.0;62.0;65.3;71.0;90.0,2019_post_poll_table_031.csv;2019_post_poll_table_087.csv;2019_post_poll_table_089.csv;2019_post_poll_table_091.csv;2019_post_poll_table_094.csv;2019_post_poll_table_096.csv;2019_post_poll_table_098.csv;2019_post_poll_table_100.csv;2019_post_poll_table_103.csv;2019_post_poll_table_105.csv;2019_post_poll_table_181.csv;2019_post_poll_table_185.csv;2019_post_poll_table_189.csv;2019_post_poll_table_197.csv;2019_post_poll_table_201.csv;2019_post_poll_table_213.csv;2019_post_poll_table_422.csv;2019_post_poll_table_448.csv;2019_post_poll_table_492.csv;2019_post_poll_table_637.csv;2019_post_poll_table_657.csv;2019_post_poll_table_708.csv;2019_post_poll_table_763.csv,,manual_review_conflict
