year,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,interpretation_stub
2019,age,,INC,15.3,5.2,-10.1,10.1,"Among nan, INC support was lower in the post-poll than the pre-poll (-10.1 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,age,,INC,17.4,5.2,-12.2,12.2,"Among nan, INC support was lower in the post-poll than the pre-poll (-12.2 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,age,,Regional,2.6,6.9,4.3,4.3,"Among nan, Regional support was higher in the post-poll than the pre-poll (+4.3 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,age,,Regional,41.0,6.9,-34.1,34.1,"Among nan, Regional support was lower in the post-poll than the pre-poll (-34.1 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,NDA,22.0,100.0,78.0,78.0,"Among nan, NDA support was higher in the post-poll than the pre-poll (+78.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,NDA,22.0,7.0,-15.0,15.0,"Among nan, NDA support was lower in the post-poll than the pre-poll (-15.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,NDA,33.0,100.0,67.0,67.0,"Among nan, NDA support was higher in the post-poll than the pre-poll (+67.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,NDA,33.0,7.0,-26.0,26.0,"Among nan, NDA support was lower in the post-poll than the pre-poll (-26.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,NDA,100.0,100.0,0.0,0.0,"Among nan, NDA support was similar in the post-poll than the pre-poll (+0.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,NDA,100.0,7.0,-93.0,93.0,"Among nan, NDA support was lower in the post-poll than the pre-poll (-93.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,80.0,70.0,70.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+70.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,35.0,25.0,25.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+25.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,8.0,-2.0,2.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-2.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,14.0,4.0,4.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+4.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,87.0,77.0,77.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+77.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,57.0,47.0,47.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+47.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,43.6,33.6,33.6,"Among nan, Others support was higher in the post-poll than the pre-poll (+33.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,5.0,-5.0,5.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-5.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,10.0,18.0,8.0,8.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+8.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,80.0,73.0,73.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+73.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,35.0,28.0,28.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+28.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,8.0,1.0,1.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+1.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,14.0,7.0,7.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+7.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,87.0,80.0,80.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+80.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,57.0,50.0,50.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+50.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,43.6,36.6,36.6,"Among nan, Others support was higher in the post-poll than the pre-poll (+36.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,5.0,-2.0,2.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-2.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,7.0,18.0,11.0,11.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+11.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,80.0,8.0,8.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+8.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,35.0,-37.0,37.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-37.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,8.0,-64.0,64.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-64.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,14.0,-58.0,58.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-58.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,87.0,15.0,15.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+15.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,57.0,-15.0,15.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-15.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,43.6,-28.4,28.4,"Among nan, Others support was lower in the post-poll than the pre-poll (-28.4 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,5.0,-67.0,67.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-67.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,72.0,18.0,-54.0,54.0,"Among nan, Others support was lower in the post-poll than the pre-poll (-54.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,80.0,37.4,37.4,"Among nan, Others support was higher in the post-poll than the pre-poll (+37.4 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,35.0,-7.6,7.6,"Among nan, Others support was lower in the post-poll than the pre-poll (-7.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,8.0,-34.6,34.6,"Among nan, Others support was lower in the post-poll than the pre-poll (-34.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,14.0,-28.6,28.6,"Among nan, Others support was lower in the post-poll than the pre-poll (-28.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,87.0,44.4,44.4,"Among nan, Others support was higher in the post-poll than the pre-poll (+44.4 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,57.0,14.4,14.4,"Among nan, Others support was higher in the post-poll than the pre-poll (+14.4 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,43.6,1.0,1.0,"Among nan, Others support was higher in the post-poll than the pre-poll (+1.0 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,5.0,-37.6,37.6,"Among nan, Others support was lower in the post-poll than the pre-poll (-37.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
2019,caste,,Others,42.6,18.0,-24.6,24.6,"Among nan, Others support was lower in the post-poll than the pre-poll (-24.6 points). This may indicate late swing, turnout differences, or survey-design differences; it is not automatically causal."
