year,poll_type,source_file,source_page,table_file,row_labels,column_labels,recognized_party_labels,recognized_group_labels,numeric_cell_count,percent_like_cell_count,likely_layout,table_type,extraction_potential_score
2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,22,2024_post_poll_table_063.csv,"[""Valid"", ""Missing"", ""Total"", ""Increasing unemployment"", ""Falling/decreasing income"", ""Price rise"", ""Favouring big business/particular section of people"", ""Increasing corruption"", ""Poor condition of roads/transport infrastructure"", ""Unsatisfactory economic growth"", ""Poor governance"", ""Unsatisfactory health care infrastructure/services"", ""Unsatisfactory educational infrastructure"", ""2064"", ""559"", ""2310"", ""368"", ""462"", ""61"", ""143"", ""445"", ""50"", ""35""]","[""col_0"", ""col_1"", ""col_2"", ""col_3"", ""N"", ""col_5"", ""col_6"", ""(%)"", ""col_8"", ""col_9"", ""Valid (%)"", ""col_11""]",INC;SP,unemployment;income;corruption;poor;ST;education;26-35,58,45,party_marginal_percent,voter_group_party_table,67.0
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,11,2024_pre_poll_table_039.csv,"[""Valid"", ""Missing"", ""Total"", ""Increasing unemployment"", ""Falling/decreasing income"", ""Dealing with corruption/scams"", ""Favouring big business/ particular section of peoples"", ""Price rise/inflation"", ""Poor condition of roads or transport etc."", ""Lack of economic growth"", ""Bad governance"", ""Lack of health care infrastructure"", ""Lack of Educational infrastructure"", ""1220.0"", ""414.0"", ""253.0"", ""175.0"", ""759.0"", ""38.0"", ""111.0"", ""219.0"", ""26.0"", ""30.0""]","[""col_0"", ""col_1"", ""col_2"", ""col_3"", ""col_4"", ""N"", ""col_6"", ""col_7"", ""(%)"", ""col_9"", ""col_10"", ""Valid"", ""col_12""]",INC;SP,unemployment;income;corruption;inflation;poor;ST;education,58,46,party_marginal_percent,voter_group_party_table,67.0
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,12,2024_pre_poll_table_041.csv,"[""Hindutva"", ""Reservation"", ""India‟s international image"", ""Citizenship amendment act"", ""Handling of Corruption/scam"", ""Control over Price rise /inflation"", ""Tackling issues of development"", ""Creating better infrastructure for roads or transportation etc."", ""Economic growth"", ""Good Governance"", ""446"", ""149"", ""775"", ""117"", ""162"", ""91"", ""383"", ""491"", ""155"", ""201""]","[""col_0"", ""col_1"", ""col_2"", ""col_3"", ""col_4"", ""N"", ""col_6"", ""col_7"", ""(%)"", ""col_9""]",INDIA;SP,Hindu;men;corruption;inflation;development;ST,42,25,party_marginal_percent,voter_group_party_table,65.0
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,237,2019_post_poll_table_717.csv,"[""INC"", ""BJP"", ""BSP"", ""CPI(M)"", ""CPI"", ""JD-U"", ""LJP"", ""AAP"", ""BVP"", ""AIADMK"", ""24"", ""31"", ""21"", ""7"", ""1"", ""6"", ""3"", ""5"", ""282"", ""119"", ""1.4"", ""1.8"", ""1.2"", ""0.4"", ""0.1"", ""0.2"", ""0.3"", ""16.3"", ""6.9"", ""43.5""]","[""col_0"", ""col_1"", ""N"", ""(%)""]",INC;BJP;BSP;AAP;AIADMK,income,46,40,party_marginal_percent,voter_group_party_table,64.0
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,22,2024_pre_poll_table_071.csv,"[""Valid"", ""Congress/INC"", ""BJP/ Bharatiya Janata Party"", ""BSP/ Bahujan Samaj Party"", ""CPI/ Communist Party of India"", ""CPI-M/ Communist Party of India Marxist"", ""CPI-ML/ Communist Party of India Marxist- Leninist"", ""NCP (Ajit Pawar)/ Nationalist Congress Party"", ""NCP (Sharad Pawar)/ Nationalist Congress Party"", ""JDU/ Janata Dal United"", ""AAP/ Aam Admi Party"", ""918.0"", ""3381.0"", ""112.0"", ""50.0"", ""42.0"", ""18.0"", ""12.0"", ""13.0"", ""39.0"", ""91.0""]","[""col_0"", ""col_1"", ""col_2"", ""col_3"", ""col_4"", ""N"", ""col_6"", ""col_7"", ""(%)"", ""col_9"", ""col_10"", ""Valid"", ""col_12""]",INC;BJP;BSP;INDIA;AAP,ST,90,87,party_marginal_percent,voter_group_party_table,64.0
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,2019_post_poll_table_491.csv,"[""INC"", ""BJP"", ""BSP"", ""CPI(M)"", ""CPI"", ""NCP"", ""AITC"", ""JD-U"", ""CPI(ML)(L)"", ""AAP"", ""199"", ""139"", ""12"", ""226"", ""3"", ""1"", ""2"", ""4"", ""0"", ""287"", ""12.0"", ""8.3"", ""0.7"", ""13.6"", ""0.2"", ""0.1"", ""0.3"", ""0.0"", ""17.2"", ""13.7""]","[""col_0"", ""col_1"", ""N"", ""(%)""]",INC;BJP;BSP;TMC;AAP,income,54,47,party_marginal_percent,voter_group_party_table,64.0
2019,pre_poll,pre-poll/2019/prepoll_2019_results.pdf,35,2019_pre_poll_table_080.csv,"[""Valid"", ""Congress"", ""BJP"", ""BSP"", ""CPI-M"", ""NCP"", ""AITC"", ""JD-U"", ""RJD"", ""AAP"", ""INLD"", ""297"", ""575"", ""40"", ""20"", ""2"", ""45"", ""1"", ""32"", ""3"", ""146"", ""3.0"", ""5.7"", ""0.4"", ""0.2"", ""0.0"", ""0.3"", ""1.5"", ""0.1"", ""19.1"", ""37.0"", ""2.6"", ""1.3"", ""0.1"", ""2.9"", ""2.1"", ""0.2"", ""9.4"", ""0.9""]","[""col_0"", ""col_1"", ""N"", ""(%)"", ""Valid (%)""]",INC;BJP;BSP;TMC;AAP,36-45,66,63,party_marginal_percent,voter_group_party_table,64.0
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,15,2024_pre_poll_table_052.csv,"[""Valid"", ""Congress/INC"", ""BJP/ Bharatiya Janata Party"", ""BSP/ Bahujan Samaj Party"", ""CPI/ Communist Party of India"", ""CPI-M/ Communist Party of India Marxist"", ""NCP (Ajit Pawar)/ Nationalist Congress Party"", ""NCP (Sharad Pawar)/ Nationalist Congress Party"", ""JDU/ Janata Dal United"", ""AAP/ Aam Admi Party"", ""Shivsena (Eknath Shinde Group)"", ""925.0"", ""1027.0"", ""29.0"", ""9.0"", ""30.0"", ""7.0"", ""1.0"", ""32.0"", ""43.0"", ""3.0""]","[""col_0"", ""col_1"", ""col_2"", ""col_3"", ""col_4"", ""N"", ""col_6"", ""col_7"", ""(%)"", ""col_9"", ""col_10"", ""Valid"", ""col_12""]",INC;BJP;BSP;INDIA;AAP,ST,84,80,party_marginal_percent,voter_group_party_table,64.0
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,1,2024_pre_poll_table_002.csv,"[""Valid"", ""Congress/INC"", ""BJP/ Bharatiya Janata Party"", ""BSP/ Bahujan Samaj Party"", ""CPI/ Communist Party of India"", ""CPI-M/ Communist Party of India Marxist"", ""CPI-ML/ Communist Party of India Marxist- Leninist"", ""NCP (Ajit Pawar)/ Nationalist Congress Party"", ""NCP (Sharad Pawar)/ Nationalist Congress Party"", ""JDU/ Janata Dal United"", ""AAP/ Aam Admi Party"", ""2086.0"", ""3973.0"", ""298.0"", ""69.0"", ""124.0"", ""3.0"", ""23.0"", ""62.0"", ""123.0"", ""170.0""]","[""col_0"", ""col_1"", ""col_2"", ""col_3"", ""col_4"", ""N"", ""col_6"", ""col_7"", ""(%)"", ""col_9"", ""col_10"", ""Valid"", ""col_12""]",INC;BJP;BSP;INDIA;AAP,ST,60,50,party_marginal_percent,voter_group_party_table,64.0
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,231,2019_post_poll_table_695.csv,"[""Valid"", ""INC"", ""BJP"", ""BSP"", ""AITC"", ""JD-U"", ""AIMIM"", ""AGP"", ""BTP"", ""RLP"", ""Independent"", ""356"", ""344"", ""6"", ""2"", ""1"", ""11"", ""16"", ""14"", ""45.9"", ""44.4"", ""0.8"", ""0.3"", ""0.1"", ""1.5"", ""2.1"", ""1.8"", ""46.1"", ""44.6"", ""0.8"", ""0.3"", ""0.1"", ""1.5"", ""2.1"", ""1.8""]","[""col_0"", ""col_1"", ""N"", ""(%)"", ""Valid (%)""]",INC;BJP;BSP;TMC;Others,income,39,37,party_marginal_percent,voter_group_party_table,63.95
