year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,duplicate_count,vote_shares_found,candidate_ids,source_files,duplicate_conflict,recommendation
2019,post_poll,state,assam,electorate,all voters,others,2,6.6;12.2,fde22c81-e537-492c-934e-969ce5c80fa5;e5e08f63-b38a-4cdb-997a-af5fcd5b2cd1,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,bihar,electorate,all voters,others,4,2.7;3.8;4.9;100.0,7cca620f-e80c-4210-a352-556f09e482cb;a238d357-8bd7-4a07-a65f-ff37235b271b;6209de81-8680-482e-8c2a-c23a50490c26;bd4ddd5f-da48-435a-9df7-1de1f4775766,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,chhattisgarh,electorate,all voters,others,2,1.2;2.8,644a3453-31e6-45ad-a690-113c19478561;faee67e4-fb8b-4d1a-a8a1-65a82d39b33d,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,delhi,electorate,all voters,others,2,19.0;60.0,48e6fe27-ce6e-45bd-a045-360b3d478c8c;5213ceac-f747-48cc-afc9-e1afb0e8d3fa,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,haryana,electorate,all voters,others,4,8.2;9.0;17.2;18.8,8cdac36d-64f8-4817-b511-b81952ec92af;75a80bde-d0cc-419d-a8a9-e43da75e4bfa;3c5c7b89-bb62-4620-a3b8-976747e13ab5;46670684-1c22-40af-9a72-0ab971d569b4,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,jharkhand,electorate,all voters,others,4,2.9;3.5;18.4;24.7,14aa726a-da05-47a3-a3e4-8332ed23e0b9;781cd1d5-98ad-48c5-9398-4d4d2a9563e7;8dca5c88-d17a-4601-8404-d7274226f351;7f6ba5e9-0ecd-4f65-a04d-9e0dfbab348a,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,kerala,electorate,all voters,others,5,1.3;2.0;3.4;10.7;15.5,4f2d9dad-4658-448e-98ce-d63e3e024a11;1a0114e1-8f51-4254-92a5-ea0468c1717e;e5270374-1c71-4073-bbd8-cecfa93bcca0;9b3acf78-628d-42eb-b323-28253e05343a;0f206593-14b0-44e9-9404-4eb3a6089311,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,madhya pradesh,electorate,all voters,bjp,2,18.9;29.4,a69c5e27-3f13-4120-86ef-da8fc3fcb696;48803c8f-fadd-4aa2-a3c7-30aefce1a3cf,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,madhya pradesh,electorate,all voters,inc,3,5.2;15.3;80.0,e3b23ff9-6885-4948-9604-cf78e414b988;aff29d7e-88a8-4e73-8b70-fd1aee347ce3;8fe5730b-fed3-4db4-bfa5-112884cb5348,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
2019,post_poll,state,madhya pradesh,electorate,all voters,others,5,1.7;3.3;12.6;20.0;21.0,c38f330d-dace-40b3-99a2-029abdb040d8;0a3147c5-a55f-4eb4-922e-00df07fdc4d6;5de5a38e-c21c-448c-85ba-a1bf4f85be91;00457f4c-2662-4733-89b4-f7771041701c;0acd7dc3-25b6-4250-bcf3-1f5ca0635cf2,post-poll/2019/postpoll_results_2019.pdf,True,manual_review_conflict
