row_index,year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,source_table,source_page,confidence,is_valid,quality_flags,valid,missing_party,missing_group_type,missing_vote_share,invalid_vote_share,duplicate_key,low_confidence,needs_manual_review
0,2019,post_poll,national,,caste,,Regional,9.8,2019_post_poll_table_005.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
1,2019,post_poll,national,,caste,,Others,80.0,2019_post_poll_table_005.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
2,2019,post_poll,national,,caste,,Regional,2.4,2019_post_poll_table_025.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
3,2019,post_poll,national,,caste,,Others,35.0,2019_post_poll_table_029.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
4,2019,post_poll,national,,gender,,Regional,67.0,2019_post_poll_table_031.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
5,2019,post_poll,national,,gender,,BJP,81.0,2019_post_poll_table_031.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
6,2019,post_poll,national,,gender,,Others,29.0,2019_post_poll_table_031.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
7,2019,post_poll,national,,caste,,Regional,100.0,2019_post_poll_table_032.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
8,2019,post_poll,national,,caste,,Others,8.0,2019_post_poll_table_032.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
9,2019,post_poll,national,,gender,,INDIA,8.0,2019_post_poll_table_033.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
10,2019,post_poll,national,,caste,,INC,74.0,2019_post_poll_table_047.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
11,2019,post_poll,national,,caste,,INDIA,56.0,2019_post_poll_table_047.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
12,2019,post_poll,national,,caste,,Others,14.0,2019_post_poll_table_047.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
13,2019,post_poll,national,,caste,,BJP,17.0,2019_post_poll_table_047.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
14,2019,post_poll,national,,caste,,NDA,100.0,2019_post_poll_table_047.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
15,2019,post_poll,national,,gender,,Regional,2.4,2019_post_poll_table_057.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
16,2019,post_poll,national,,other,Valid,INC,4.0,2019_post_poll_table_066.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
17,2019,post_poll,national,,other,Valid,Others,23.7,2019_post_poll_table_070.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
18,2019,post_poll,national,,gender,,Regional,70.0,2019_post_poll_table_082.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
19,2019,post_poll,national,,gender,,Regional,1.9,2019_post_poll_table_084.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
20,2019,post_poll,national,,gender,,Others,10.0,2019_post_poll_table_087.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
21,2019,post_poll,national,,gender,,Regional,1.5,2019_post_poll_table_087.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
22,2019,post_poll,national,,gender,,Others,20.0,2019_post_poll_table_089.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
23,2019,post_poll,national,,gender,,Regional,1.6,2019_post_poll_table_089.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
24,2019,post_poll,national,,gender,,Others,42.0,2019_post_poll_table_091.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
25,2019,post_poll,national,,gender,,Others,30.0,2019_post_poll_table_094.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
26,2019,post_poll,national,,gender,,Regional,1.7,2019_post_poll_table_094.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
27,2019,post_poll,national,,gender,,Others,40.0,2019_post_poll_table_096.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
28,2019,post_poll,national,,gender,,Regional,2.6,2019_post_poll_table_096.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
29,2019,post_poll,national,,gender,,Others,22.0,2019_post_poll_table_098.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
30,2019,post_poll,national,,gender,,Others,14.0,2019_post_poll_table_100.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
31,2019,post_poll,national,,gender,,Others,90.0,2019_post_poll_table_103.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
32,2019,post_poll,national,,gender,,Others,20.0,2019_post_poll_table_105.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
33,2019,post_poll,national,,gender,,Regional,2.1,2019_post_poll_table_105.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
34,2019,post_poll,national,,caste,,Regional,1.5,2019_post_poll_table_106.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
35,2019,post_poll,national,,caste,,Regional,1.6,2019_post_poll_table_107.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
36,2019,post_poll,national,,caste,,Regional,2.9,2019_post_poll_table_108.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
37,2019,post_poll,national,,caste,,Regional,3.7,2019_post_poll_table_109.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
38,2019,post_poll,national,,caste,,Regional,1.9,2019_post_poll_table_110.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
39,2019,post_poll,national,,caste,,Regional,2.0,2019_post_poll_table_111.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
40,2019,post_poll,national,,caste,,Regional,2.1,2019_post_poll_table_112.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
41,2019,post_poll,national,,caste,,Regional,1.8,2019_post_poll_table_114.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
42,2019,post_poll,national,,religion,,Others,100.0,2019_post_poll_table_115.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
43,2019,post_poll,national,,caste,,Regional,1.9,2019_post_poll_table_116.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
44,2019,post_poll,national,,gender,,Regional,2.0,2019_post_poll_table_117.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
45,2019,post_poll,national,,religion,Valid,INDIA,27.9,2019_post_poll_table_118.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
