year,poll_type,page,reason,suggested_action
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_001.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_002.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_003.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_004.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_006.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_007.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_008.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_009.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_010.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_011.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_012.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_013.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_014.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_015.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_016.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_017.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_018.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_019.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_020.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_021.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_022.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_023.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_024.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_026.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_027.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_028.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_030.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_034.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_035.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_036.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_037.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_038.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_039.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_040.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_041.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_042.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_043.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_044.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_045.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_046.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_048.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_049.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_050.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_051.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_052.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_053.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_054.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_055.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_056.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_058.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_059.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_060.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_061.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_062.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_063.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_064.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_065.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_067.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_068.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_069.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_071.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_072.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_073.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_074.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_075.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_076.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_077.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_078.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_079.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_080.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_081.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_083.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_085.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_086.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_088.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_090.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_092.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_093.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_095.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_097.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_099.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_101.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_102.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_104.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_113.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_121.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_125.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_131.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_136.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_142.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_146.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_147.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_150.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_151.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_155.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_159.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_162.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_164.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_178.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_179.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_180.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_182.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_183.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_186.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_187.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_190.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_191.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_192.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_195.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_196.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_199.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_200.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_203.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_204.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_205.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_206.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_208.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_209.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_210.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_211.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_212.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_214.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_215.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_216.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_217.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_218.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_219.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_220.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_221.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_222.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_223.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_224.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_225.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_226.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_227.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_228.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_229.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_230.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_231.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_232.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_233.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_234.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_235.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_236.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_237.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_238.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_239.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_240.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_241.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_242.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_243.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_244.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_245.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_246.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_247.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_249.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_250.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_251.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_252.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_253.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_254.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_255.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_256.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_257.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_258.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_259.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_260.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_261.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_262.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_263.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_264.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_265.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_266.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_267.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_268.csv,inspect extracted CSV and add manual mapping
