year,poll_type,source_file,table_file,page,priority_score,priority_bucket,keywords_found,suggested_cleaning_type,notes
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_094.csv,,22,medium,age;bjp;congress;hindu;inc;india;muslim;nda;party;region;religion;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_009.csv,,21,medium,age;bjp;congress;inc;india;muslim;nda;party;region;state;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_011.csv,,21,medium,age;bjp;congress;inc;india;muslim;nda;party;region;state;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_015.csv,,21,medium,age;bjp;congress;inc;india;muslim;nda;party;region;religion;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_018.csv,,21,medium,age;bjp;congress;hindu;inc;india;muslim;nda;party;region;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_022.csv,,21,medium,age;bjp;congress;inc;india;muslim;nda;party;region;state;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_024.csv,,21,medium,age;bjp;congress;hindu;inc;india;muslim;nda;party;region;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_030.csv,,21,medium,age;bjp;congress;inc;india;muslim;nda;party;region;vote;voted;voting;women,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_048.csv,,21,medium,age;bjp;congress;hindu;inc;india;muslim;nda;party;region;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
2024,pre_poll,2024_pre_poll_text.txt,2024_pre_poll_table_049.csv,,21,medium,age;bjp;congress;inc;india;muslim;nda;party;region;state;vote;voted;voting,voter_group_party_table,inspect extracted CSV and add manual mapping
