state,constituency,neighbor_state,neighbor_constituency,distance
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bihar,Aurangabad,0.5325133281570198
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Uttar Pradesh,Rampur,0.5433830107606011
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bihar,Banka,0.5768441149731159
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Manipur,Outer Manipur,0.5799966183570797
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Uttar Pradesh,Kaushambi,0.5894746599809216
Andhra Pradesh,Amalapuram,Uttarakhand,Nainital-Udhamsingh Nagar,0.07321914288759708
Andhra Pradesh,Amalapuram,Andhra Pradesh,Srikakulam,0.11327601720121573
Andhra Pradesh,Amalapuram,Karnataka,Uttara Kannada,0.1348293251379359
Andhra Pradesh,Amalapuram,Rajasthan,BHILWARA,0.15397886460257035
Andhra Pradesh,Amalapuram,Rajasthan,AJMER,0.20233171957210366
Andhra Pradesh,Anakapalle,Andhra Pradesh,Narsapuram,0.13674514514763603
Andhra Pradesh,Anakapalle,Uttar Pradesh,Ghaziabad,0.3052544467085411
Andhra Pradesh,Anakapalle,Andhra Pradesh,Vijayawada,0.3056739058962798
Andhra Pradesh,Anakapalle,Maharashtra,Chandrapur,0.3216011463386136
Andhra Pradesh,Anakapalle,Jharkhand,Jamshedpur,0.32399745834379323
Andhra Pradesh,Ananthapur,Andhra Pradesh,Eluru,0.14987413851495618
Andhra Pradesh,Ananthapur,Chhattisgarh,BILASPUR,0.19663763510642288
Andhra Pradesh,Ananthapur,West Bengal,Ghatal,0.20278710664029223
Andhra Pradesh,Ananthapur,Haryana,FARIDABAD,0.22052441287593832
Andhra Pradesh,Ananthapur,Uttar Pradesh,Kannauj,0.22686088075192332
Andhra Pradesh,Araku,Maharashtra,Bhiwandi,0.2066222862530162
Andhra Pradesh,Araku,Kerala,Chalakudy,0.23918648014186236
Andhra Pradesh,Araku,Tamil Nadu,NAMAKKAL,0.25295553029671314
Andhra Pradesh,Araku,Tamil Nadu,VILUPPURAM,0.25995777574197093
Andhra Pradesh,Araku,Bihar,Buxar,0.2682758879558987
Andhra Pradesh,Bapatla,Andhra Pradesh,Chittoor,0.10786586147400393
Andhra Pradesh,Bapatla,Uttar Pradesh,Barabanki,0.1282494443592234
Andhra Pradesh,Bapatla,Andhra Pradesh,Machilipatnam,0.1549687608302822
Andhra Pradesh,Bapatla,Assam,Lakhimpur,0.15538000193449777
Andhra Pradesh,Bapatla,Maharashtra,Thane,0.18306254262721433
Andhra Pradesh,Chittoor,Andhra Pradesh,Bapatla,0.10786586147400393
Andhra Pradesh,Chittoor,Andhra Pradesh,Machilipatnam,0.14707882594707766
Andhra Pradesh,Chittoor,Uttar Pradesh,Barabanki,0.18507605814133918
Andhra Pradesh,Chittoor,Assam,Lakhimpur,0.19054858787069182
Andhra Pradesh,Chittoor,Chhattisgarh,RAIGARH,0.2039766920619218
Andhra Pradesh,Eluru,Andhra Pradesh,Ananthapur,0.14987413851495618
Andhra Pradesh,Eluru,Haryana,FARIDABAD,0.15347637850052737
Andhra Pradesh,Eluru,Karnataka,Chamarajanagar,0.1698475523069219
Andhra Pradesh,Eluru,Chhattisgarh,BILASPUR,0.18996298371021045
Andhra Pradesh,Eluru,Uttar Pradesh,Varanasi,0.20759508465312396
Andhra Pradesh,Guntur,Rajasthan,JAIPUR,0.17868692703759811
Andhra Pradesh,Guntur,Andhra Pradesh,Amalapuram,0.20634010110430717
Andhra Pradesh,Guntur,Uttarakhand,Nainital-Udhamsingh Nagar,0.2283553309781549
Andhra Pradesh,Guntur,Andhra Pradesh,Srikakulam,0.2558101135866431
Andhra Pradesh,Guntur,Rajasthan,JHALAWAR-BARAN,0.2622368902392571
Andhra Pradesh,Hindupur,Maharashtra,Shirur,0.20136505862324358
Andhra Pradesh,Hindupur,Uttar Pradesh,Gorakhpur,0.21770395730995448
Andhra Pradesh,Hindupur,Jammu and Kashmir,UDHAMPUR,0.2278726801962979
Andhra Pradesh,Hindupur,Bihar,Gaya,0.25415315050881915
Andhra Pradesh,Hindupur,Bihar,Jamui,0.2584739458773318
Andhra Pradesh,Kadapa,West Bengal,Hooghly,0.13243182942527817
Andhra Pradesh,Kadapa,Telangana,Secunderabad,0.15401109750676165
Andhra Pradesh,Kadapa,Uttar Pradesh,Domariyaganj,0.1635769639638674
Andhra Pradesh,Kadapa,West Bengal,Asansol,0.16361724009539985
Andhra Pradesh,Kadapa,West Bengal,Barrackpur,0.1954141062067471
Andhra Pradesh,Kakinada,Haryana,KARNAL,0.026051598262333504
Andhra Pradesh,Kakinada,Andhra Pradesh,Machilipatnam,0.10626034394437876
Andhra Pradesh,Kakinada,Andhra Pradesh,Rajahmundry,0.11610528574890379
Andhra Pradesh,Kakinada,Andhra Pradesh,Nellore,0.20168602061913507
Andhra Pradesh,Kakinada,Assam,Lakhimpur,0.2050616217234007
Andhra Pradesh,Kurnoolu,Madhya Pradesh,CHHINDWARA,0.07313458900519526
Andhra Pradesh,Kurnoolu,Uttar Pradesh,Moradabad,0.08200235543175612
Andhra Pradesh,Kurnoolu,Andhra Pradesh,Nandyal,0.12423321243875485
Andhra Pradesh,Kurnoolu,Jharkhand,Godda,0.14673512980967598
Andhra Pradesh,Kurnoolu,Uttar Pradesh,Firozabad,0.16754226929572585
Andhra Pradesh,Machilipatnam,Haryana,KARNAL,0.1053217496177729
Andhra Pradesh,Machilipatnam,Andhra Pradesh,Kakinada,0.10626034394437876
Andhra Pradesh,Machilipatnam,Andhra Pradesh,Chittoor,0.14707882594707766
Andhra Pradesh,Machilipatnam,Andhra Pradesh,Bapatla,0.1549687608302822
Andhra Pradesh,Machilipatnam,Uttar Pradesh,Barabanki,0.15538773334195033
Andhra Pradesh,Nandyal,Uttar Pradesh,Moradabad,0.07011839007137792
Andhra Pradesh,Nandyal,Jharkhand,Godda,0.10538374511874894
Andhra Pradesh,Nandyal,Uttar Pradesh,Jhansi,0.10763580333822076
Andhra Pradesh,Nandyal,Andhra Pradesh,Kurnoolu,0.12423321243875485
Andhra Pradesh,Nandyal,Uttar Pradesh,Gorakhpur,0.17127546331157012
Andhra Pradesh,Narsapuram,Andhra Pradesh,Anakapalle,0.13674514514763603
Andhra Pradesh,Narsapuram,Maharashtra,Jalgaon,0.21944719819152303
Andhra Pradesh,Narsapuram,Jharkhand,Jamshedpur,0.24140767452324605
Andhra Pradesh,Narsapuram,Maharashtra,Chandrapur,0.24952001221320347
Andhra Pradesh,Narsapuram,Andhra Pradesh,Vijayawada,0.3097290131946417
Andhra Pradesh,Narsaraopet,Karnataka,Chikkballapur,0.042519972548260086
Andhra Pradesh,Narsaraopet,Maharashtra,Kolhapur,0.06456840550736159
Andhra Pradesh,Narsaraopet,Karnataka,Dakshina Kannada,0.07807313966191705
Andhra Pradesh,Narsaraopet,Assam,Jorhat,0.11978369619625581
Andhra Pradesh,Narsaraopet,Maharashtra,Nandurbar,0.14541059288269942
Andhra Pradesh,Nellore,Rajasthan,PALI,0.041979119619379335
Andhra Pradesh,Nellore,Chhattisgarh,RAIGARH,0.1440942531437421
Andhra Pradesh,Nellore,Haryana,KARNAL,0.17818487233071517
Andhra Pradesh,Nellore,Karnataka,Shimoga,0.18730089282348475
Andhra Pradesh,Nellore,Andhra Pradesh,Machilipatnam,0.18824674728344878
Andhra Pradesh,Ongole,Haryana,AMBALA,0.02844333940799066
Andhra Pradesh,Ongole,Chhattisgarh,RAJNANDGAON,0.06219421141731035
Andhra Pradesh,Ongole,Haryana,BHIWANI-MAHENDRAGARH,0.10592031201138144
Andhra Pradesh,Ongole,Karnataka,Hassan,0.11498261947927714
Andhra Pradesh,Ongole,Karnataka,Koppal,0.1312103465966113
Andhra Pradesh,Rajahmundry,Haryana,KARNAL,0.11316733157057697
Andhra Pradesh,Rajahmundry,Andhra Pradesh,Kakinada,0.11610528574890379
Andhra Pradesh,Rajahmundry,Odisha,Bargarh,0.15477266264851738
Andhra Pradesh,Rajahmundry,Andhra Pradesh,Machilipatnam,0.21188331571646427
Andhra Pradesh,Rajahmundry,Andhra Pradesh,Nellore,0.21820191811121106
Andhra Pradesh,Rajampet,West Bengal,Bangaon,0.08479196822511352
Andhra Pradesh,Rajampet,Odisha,Kendrapara,0.09905816536584057
Andhra Pradesh,Rajampet,West Bengal,Jalpaiguri,0.10319264808820913
Andhra Pradesh,Rajampet,Maharashtra,Ramtek,0.10569264428166418
Andhra Pradesh,Rajampet,Bihar,Arrah,0.11515545412935965
Andhra Pradesh,Srikakulam,Uttarakhand,Nainital-Udhamsingh Nagar,0.04703997836694361
Andhra Pradesh,Srikakulam,Andhra Pradesh,Amalapuram,0.11327601720121573
Andhra Pradesh,Srikakulam,Karnataka,Uttara Kannada,0.18824863331186117
Andhra Pradesh,Srikakulam,Rajasthan,AJMER,0.21682531761610985
Andhra Pradesh,Srikakulam,Rajasthan,BHILWARA,0.24359477571430105
Andhra Pradesh,Thirupathi,Bihar,Saran,0.08187819844792733
Andhra Pradesh,Thirupathi,West Bengal,Arambag,0.11132417750950205
Andhra Pradesh,Thirupathi,Jharkhand,Dumka,0.11378613394926555
Andhra Pradesh,Thirupathi,Uttar Pradesh,Bansgaon,0.11513675930173523
Andhra Pradesh,Thirupathi,Uttar Pradesh,Aonla,0.11537779958196404
Andhra Pradesh,Vijayawada,NCT OF Delhi,North-West Delhi,0.14108963377493136
