state,constituency,neighbor_state,neighbor_constituency,distance
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Jharkhand,Khunti,0.076009437852192
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Andhra Pradesh,Srikakulam,0.08714432609510378
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Uttar Pradesh,Sultanpur,0.1556560319130743
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Andhra Pradesh,Vijayawada,0.24332514264486962
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Jharkhand,Lohardaga,0.24408127537843635
Andhra Pradesh,Amalapuram,Kerala,Attingal,0.2838808565797766
Andhra Pradesh,Amalapuram,Odisha,Bolangir,0.3061705461940597
Andhra Pradesh,Amalapuram,Telangana,Malkajgiri,0.30957564441391744
Andhra Pradesh,Amalapuram,Punjab,Bathinda,0.31019293858297037
Andhra Pradesh,Amalapuram,Kerala,Pathanamthitta,0.3133366337903588
Andhra Pradesh,Anakapalli,Maharashtra,Hatkanangle,0.17834212418572773
Andhra Pradesh,Anakapalli,Tamil Nadu,Dharmapuri,0.18500734556153794
Andhra Pradesh,Anakapalli,West Bengal,Bolpur,0.18506841819242048
Andhra Pradesh,Anakapalli,Maharashtra,Palghar,0.222205769792855
Andhra Pradesh,Anakapalli,West Bengal,Howrah,0.22486142796414324
Andhra Pradesh,Anantapur,Andhra Pradesh,Chittoor,0.08897524371865027
Andhra Pradesh,Anantapur,Andhra Pradesh,Narasaraopet,0.08966331241928185
Andhra Pradesh,Anantapur,Karnataka,Mysore,0.12962337246545202
Andhra Pradesh,Anantapur,Maharashtra,Satara,0.13386498614667422
Andhra Pradesh,Anantapur,Chhattisgarh,BILASPUR,0.1345066135373109
Andhra Pradesh,Aruku,Tamil Nadu,Nagapattinam,0.09326616282305165
Andhra Pradesh,Aruku,Bihar,Vaishali,0.13008946097651616
Andhra Pradesh,Aruku,Uttar Pradesh,Hamirpur,0.24722522974601654
Andhra Pradesh,Aruku,Madhya Pradesh,SATNA,0.2730821016720858
Andhra Pradesh,Aruku,Tamil Nadu,Erode,0.2905646990990331
Andhra Pradesh,Bapatla,Uttar Pradesh,Ballia,0.032672783611297766
Andhra Pradesh,Bapatla,Uttar Pradesh,Badaun,0.04758404971261903
Andhra Pradesh,Bapatla,Uttar Pradesh,Chandauli,0.056392457718212476
Andhra Pradesh,Bapatla,Odisha,Puri,0.08423133096113695
Andhra Pradesh,Bapatla,Haryana,Rohtak,0.08853968817821777
Andhra Pradesh,Chittoor,Karnataka,Mysore,0.04772871678241324
Andhra Pradesh,Chittoor,Madhya Pradesh,GUNA,0.08508556949581084
Andhra Pradesh,Chittoor,Andhra Pradesh,Anantapur,0.08897524371865027
Andhra Pradesh,Chittoor,Chhattisgarh,BILASPUR,0.1323640658209488
Andhra Pradesh,Chittoor,Andhra Pradesh,Narasaraopet,0.14018254209777284
