state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,MALE,52.0,GENERAL,INC,Hand,95249.0,59.0,95308.0,29.92674372234835,45.95415577777992,318471.0,2019,1.0,True,45.976767520839765,93901.0,1407.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,MALE,46.0,GENERAL,BJP,Lotus,93772.0,129.0,93901.0,29.484945254041968,45.275750007232475,318471.0,2019,2.0,False,45.29802794072245,5341.0,
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,FEMALE,46.0,SC,YSRCP,Ceiling Fan,482003.0,3955.0,485958.0,33.29491982493306,39.337104409374376,1459556.0,2019,1.0,True,39.41600866253817,446163.0,39795.0
Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),MALE,28.0,SC,TDP,Bicycle,443590.0,2573.0,446163.0,30.56840573434661,36.115797074232134,1459556.0,2019,2.0,False,36.18823987444186,255317.0,
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,FEMALE,52.0,GENERAL,YSRCP,Ceiling Fan,583210.0,3016.0,586226.0,38.53294710072481,47.25891123909272,1521363.0,2019,1.0,True,47.33389261609491,497034.0,89192.0
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,MALE,43.0,GENERAL,TDP,Bicycle,495381.0,1653.0,497034.0,32.6703094527736,40.06865217307184,1521363.0,2019,2.0,False,40.13222542594173,82588.0,
Andhra Pradesh,Anantapur,TALARI RANGAIAH,MALE,48.0,GENERAL,YSRCP,Ceiling Fan,690901.0,4307.0,695208.0,41.77531006633978,51.56893259768832,1664160.0,2019,1.0,True,51.79206529658662,553780.0,141428.0
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,MALE,45.0,GENERAL,TDP,Bicycle,550597.0,3183.0,553780.0,33.27684837996346,41.07812840753823,1664160.0,2019,2.0,False,41.25586863204068,30079.0,
Andhra Pradesh,Aruku,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,Ceiling Fan,557561.0,4629.0,562190.0,38.73384510871438,52.13983964534633,1451418.0,2019,1.0,True,52.31922928737745,338101.0,224089.0
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,MALE,72.0,ST,TDP,Bicycle,336163.0,1938.0,338101.0,23.294529901103612,31.35689344159668,1451418.0,2019,2.0,False,31.464778351254218,47977.0,
Andhra Pradesh,Bapatla,NANDIGAM SURESH,MALE,42.0,SC,YSRCP,Ceiling Fan,592250.0,6007.0,598257.0,40.734582489883714,47.10692457783398,1468671.0,2019,1.0,True,47.23732956860367,582192.0,16065.0
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,MALE,65.0,SC,TDP,Bicycle,577403.0,4789.0,582192.0,39.64073642088664,45.8419619558456,1468671.0,2019,2.0,False,45.96886518035645,42580.0,
Andhra Pradesh,Chittoor,N. REDDEPPA,MALE,68.0,SC,YSRCP,Ceiling Fan,681325.0,5467.0,686792.0,43.84247931214767,52.04408794856153,1566499.0,2019,1.0,True,52.0505171765676,549521.0,137271.0
Andhra Pradesh,Chittoor,NARAMALLI SIVA PRASAD,MALE,67.0,SC,TDP,Bicycle,545374.0,4147.0,549521.0,35.07956277022839,41.64189340234232,1566499.0,2019,2.0,False,41.64703760291996,24643.0,
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,MALE,46.0,GENERAL,YSRCP,Ceiling Fan,672834.0,3975.0,676809.0,42.43449637919684,50.80347692931294,1594950.0,2019,1.0,True,50.96748832575383,510884.0,165925.0
Andhra Pradesh,Eluru,MAGANTTI VENKATESWARA RAO BABU,MALE,59.0,GENERAL,TDP,Bicycle,509549.0,1335.0,510884.0,32.03134894510799,38.34860870283214,1594950.0,2019,2.0,False,38.472411427469815,76827.0,
Andhra Pradesh,Guntur,Jayadev Galla,MALE,53.0,GENERAL,TDP,Bicycle,586292.0,1626.0,587918.0,34.45937827314508,43.500277833887154,1706119.0,2019,1.0,True,43.501983759953944,583713.0,4205.0
Andhra Pradesh,Guntur,Modugula Venugopala Reddy,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,580840.0,2873.0,583713.0,34.212912463901986,43.189148274507275,1706119.0,2019,2.0,False,43.19084199918015,129205.0,
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,MALE,50.0,GENERAL,YSRCP,Ceiling Fan,699739.0,6863.0,706602.0,44.77214174467659,52.730430058498825,1578218.0,2019,1.0,True,52.790034321643255,565854.0,140748.0
Andhra Pradesh,Hindupur,KRISTAPPA . NIMMALA,MALE,63.0,GENERAL,TDP,Bicycle,561602.0,4252.0,565854.0,35.853982149487585,42.227059604022905,1578218.0,2019,2.0,False,42.27479129841003,27156.0,
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,MALE,34.0,GENERAL,YSRCP,Ceiling Fan,777967.0,5532.0,783499.0,49.8939076499844,63.4131279506162,1570330.0,2019,1.0,True,63.79027911437648,402773.0,380726.0
Andhra Pradesh,Kadapa,Adi Narayana Reddy Chadipirala,MALE,61.0,GENERAL,TDP,Bicycle,400142.0,2631.0,402773.0,25.64894003171308,32.59875990148493,1570330.0,2019,2.0,False,32.79264184094014,14692.0,
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,FEMALE,55.0,GENERAL,YSRCP,Ceiling Fan,534655.0,2975.0,537630.0,34.37685829928449,43.46894520922305,1563930.0,2019,1.0,True,43.54495790321992,511892.0,25738.0
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,MALE,49.0,GENERAL,TDP,Bicycle,508361.0,3531.0,511892.0,32.73113246756568,41.38795324115024,1563930.0,2019,2.0,False,41.46032697393199,132648.0,
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,603098.0,2364.0,605462.0,38.49068886446295,50.85044411895131,1573009.0,2019,1.0,True,50.95079048107129,456395.0,149067.0
Andhra Pradesh,Kurnool,KOTLA JAYA SURYA PRAKASH REDDY,MALE,67.0,GENERAL,TDP,Bicycle,453071.0,3324.0,456395.0,29.014137872065575,38.33087533762446,1573009.0,2019,2.0,False,38.4065160515582,36500.0,
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,MALE,50.0,GENERAL,YSRCP,Ceiling Fan,567592.0,5258.0,572850.0,38.880861059886094,45.99165671124128,1473347.0,2019,1.0,True,46.02794539479499,512612.0,60238.0
Andhra Pradesh,Machilipatnam,KONAKALLA NARAYANA RAO,MALE,68.0,GENERAL,TDP,Bicycle,509887.0,2725.0,512612.0,34.7923469488179,41.1554074016982,1473347.0,2019,2.0,False,41.187880151377584,113442.0,
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,MALE,60.0,GENERAL,YSRCP,Ceiling Fan,715024.0,5864.0,720888.0,44.96500792155786,55.462095654281285,1603220.0,2019,1.0,True,55.491639166710925,470769.0,250119.0
Andhra Pradesh,Nandyal,MANDRA SIVANANDA REDDY,MALE,57.0,GENERAL,TDP,Bicycle,466869.0,3900.0,470769.0,29.363967515375304,36.21899006374131,1603220.0,2019,2.0,False,36.238283171412675,38871.0,
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,MALE,35.0,GENERAL,YSRCP,Ceiling Fan,740509.0,5048.0,745557.0,44.63368157515217,51.74848618618869,1670391.0,2019,1.0,True,51.867721334056846,591555.0,154002.0
Andhra Pradesh,Narasaraopet,RAYAPATI SAMBASIVARAO,MALE,75.0,GENERAL,TDP,Bicycle,589344.0,2211.0,591555.0,35.414163510220064,41.059336503943825,1670391.0,2019,2.0,False,41.15394248027716,51008.0,
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,MALE,57.0,GENERAL,YSRCP,Ceiling Fan,444376.0,4858.0,449234.0,31.203501306877655,38.09773381435291,1439691.0,2019,1.0,True,38.14379768675206,416558.0,32676.0
Andhra Pradesh,Narsapuram,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),MALE,48.0,GENERAL,TDP,Bicycle,414547.0,2011.0,416558.0,28.93384761035528,35.326613306738174,1439691.0,2019,2.0,False,35.36932662442751,250802.0,
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,MALE,70.0,GENERAL,YSRCP,Ceiling Fan,677014.0,6816.0,683830.0,40.87826427433504,53.044577054378784,1672845.0,2019,1.0,True,53.132157919436594,535259.0,148571.0
Andhra Pradesh,Nellore,Beeda Masthan Rao,MALE,60.0,GENERAL,TDP,Bicycle,529571.0,5688.0,535259.0,31.996927390164657,41.519949796805825,1672845.0,2019,2.0,False,41.588502574908546,18830.0,
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,MALE,65.0,GENERAL,YSRCP,Ceiling Fan,729344.0,9858.0,739202.0,47.49224044937612,55.00002604160854,1556469.0,2019,1.0,True,55.06701590025984,524351.0,214851.0
Andhra Pradesh,Ongole,SIDDA RAGHAVA RAO,MALE,61.0,GENERAL,TDP,Bicycle,516287.0,8064.0,524351.0,33.68849620519265,39.014124224425096,1556469.0,2019,2.0,False,39.06164330496556,29379.0,
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,MALE,36.0,GENERAL,YSRCP,Ceiling Fan,578471.0,3553.0,582024.0,37.93525982626107,46.54374932026537,1534256.0,2019,1.0,True,46.546019879609126,460390.0,121634.0
Andhra Pradesh,Rajahmundry,MAGANTI ROOPA,FEMALE,45.0,GENERAL,TDP,Bicycle,459100.0,1290.0,460390.0,30.00737816896268,36.81682671085208,1534256.0,2019,2.0,False,36.81862275846571,155807.0,
Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,MALE,42.0,GENERAL,YSRCP,Ceiling Fan,695277.0,6934.0,702211.0,45.39360982793104,57.26949024264528,1546938.0,2019,1.0,True,57.353592180039435,433927.0,268284.0
Andhra Pradesh,Rajampet,D A SATHYA PRABHA,FEMALE,68.0,GENERAL,TDP,Bicycle,429710.0,4217.0,433927.0,28.050704035973,35.389331828354074,1546938.0,2019,2.0,False,35.441302107070335,33986.0,
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32.0,GENERAL,TDP,Bicycle,529213.0,5331.0,534544.0,34.401039990732755,45.91174333454151,1553860.0,2019,1.0,True,46.18773054161781,527891.0,6653.0
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,520931.0,6960.0,527891.0,33.97288043967925,45.34032016188462,1553860.0,2019,2.0,False,45.61287239842776,31956.0,
Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,MALE,63.0,SC,YSRCP,Ceiling Fan,717924.0,4953.0,722877.0,43.79870253803047,54.910127287076904,1650453.0,2019,1.0,True,55.03378339798175,494501.0,228376.0
Andhra Pradesh,Tirupati,Panabaka Lakshmi,FEMALE,60.0,SC,TDP,Bicycle,490605.0,3896.0,494501.0,29.96153177339797,37.56256299977288,1650453.0,2019,2.0,False,37.6471528684484,25781.0,
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),MALE,53.0,GENERAL,TDP,Bicycle,573929.0,1569.0,575498.0,34.815492373233056,45.03907182406918,1652994.0,2019,1.0,True,45.041327812001306,566772.0,8726.0
Andhra Pradesh,Vijayawada,POTLURI.V.PRASAD ( P V P ),MALE,48.0,GENERAL,YSRCP,Ceiling Fan,564174.0,2598.0,566772.0,34.28760176987938,44.3561659916652,1652994.0,2019,2.0,False,44.35838777313493,81650.0,
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,433968.0,2938.0,436906.0,23.883780681134866,35.236599751113175,1829300.0,2019,1.0,True,35.24134626708202,432492.0,4414.0
Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,MALE,29.0,GENERAL,TDP,Bicycle,431093.0,1399.0,432492.0,23.64248619690592,34.88060932914274,1829300.0,2019,2.0,False,34.88530789172691,288874.0,
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57.0,GENERAL,YSRCP,Ceiling Fan,573466.0,4952.0,578418.0,38.45915504195535,47.31694906796528,1503980.0,2019,1.0,True,47.493451789570486,530382.0,48036.0
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67.0,GENERAL,TDP,Bicycle,527307.0,3075.0,530382.0,35.265229590819025,43.3874085532704,1503980.0,2019,2.0,False,43.54925321662875,34192.0,
