state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,MALE,73.0,GENERAL,BJP,Lotus,202597.0,200705.0,102182.0,254.0,102436.0,32.44,50.56,51.04,315745.0,2024,1.0,True,50.58218197260437,78040.0,24396.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,MALE,56.0,GENERAL,INC,Hand,202597.0,200705.0,77829.0,211.0,78040.0,24.72,38.52,38.88,315745.0,2024,2.0,False,38.53560741479601,8254.0,
Andhra Pradesh,Amalapuram,G M HARISH (BALAYOGI),MALE,33.0,SC,TDP,Bicycle,1301934.0,1287588.0,786149.0,10832.0,796981.0,52.01,61.22,61.9,1532229.0,2024,1.0,True,61.25411765067565,454785.0,342196.0
Andhra Pradesh,Amalapuram,RAPAKA VARAPRASADA RAO,MALE,65.0,SC,YSRCP,Ceiling fan,1301934.0,1287588.0,450362.0,4423.0,454785.0,29.68,34.93,35.32,1532229.0,2024,2.0,False,34.95372398559379,15082.0,
Andhra Pradesh,Anakapalle,C.M.RAMESH,MALE,58.0,GENERAL,BJP,Lotus,1328726.0,1299097.0,750027.0,12042.0,762069.0,47.59,57.35,58.66,1601365.0,2024,1.0,True,57.50023390365584,465539.0,296530.0
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,MALE,60.0,GENERAL,YSRCP,Ceiling fan,1328726.0,1299097.0,459762.0,5777.0,465539.0,29.07,35.04,35.84,1601365.0,2024,2.0,False,35.12621743080224,26235.0,
Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,MALE,60.0,GENERAL,TDP,Bicycle,1445498.0,1431229.0,755862.0,12383.0,768245.0,43.42,53.15,53.68,1769264.0,2024,1.0,True,53.334495025089765,579690.0,188555.0
Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,MALE,59.0,GENERAL,YSRCP,Ceiling fan,1445498.0,1431229.0,573769.0,5921.0,579690.0,32.76,40.1,40.5,1769264.0,2024,2.0,False,40.244288503139344,43217.0,
Andhra Pradesh,Araku,GUMMA THANUJA RANI,FEMALE,31.0,ST,YSRCP,Ceiling fan,1165787.0,1113975.0,471470.0,5535.0,477005.0,30.63,40.92,42.82,1557153.0,2024,1.0,True,40.96415030336341,426425.0,50580.0
Andhra Pradesh,Araku,KOTHAPALLI GEETHA,FEMALE,53.0,ST,BJP,Lotus,1165787.0,1113975.0,417113.0,9312.0,426425.0,27.38,36.58,38.28,1557153.0,2024,2.0,False,36.62045008566312,123129.0,
Andhra Pradesh,Bapatla,KRISHNA PRASAD TENNETI,MALE,64.0,SC,TDP,Bicycle,1308243.0,1287022.0,706757.0,10736.0,717493.0,47.48,54.84,55.75,1511177.0,2024,1.0,True,55.16015821702178,509462.0,208031.0
Andhra Pradesh,Bapatla,NANDIGAM SURESH BABU,MALE,46.0,SC,YSRCP,Ceiling fan,1308243.0,1287022.0,503816.0,5646.0,509462.0,33.71,38.94,39.58,1511177.0,2024,2.0,False,39.1669389465268,43259.0,
Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,MALE,62.0,SC,TDP,Bicycle,1425910.0,1406881.0,765536.0,12535.0,778071.0,47.34,54.57,55.3,1643593.0,2024,1.0,True,54.83787302032551,557592.0,220479.0
Andhra Pradesh,Chittoor,REDDEPPA.N .,MALE,73.0,SC,YSRCP,Ceiling fan,1425910.0,1406881.0,552469.0,5123.0,557592.0,33.93,39.1,39.63,1643593.0,2024,2.0,False,39.29867491931886,30150.0,
Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,MALE,39.0,GENERAL,TDP,Bicycle,1387990.0,1359534.0,737644.0,8707.0,746351.0,45.56,53.77,54.9,1638116.0,2024,1.0,True,54.00322275114703,564494.0,181857.0
Andhra Pradesh,Eluru,KARUMURI SUNIL KUMAR,MALE,33.0,GENERAL,YSRCP,Ceiling fan,1387990.0,1359534.0,559318.0,5176.0,564494.0,34.46,40.67,41.52,1638116.0,2024,2.0,False,40.844716793688214,22515.0,
Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,MALE,48.0,GENERAL,TDP,Bicycle,1437528.0,1417984.0,851020.0,13928.0,864948.0,48.23,60.17,61.0,1793324.0,2024,1.0,True,60.682306571411935,520253.0,344695.0
Andhra Pradesh,Guntur,KILARI VENKATA ROSAIAH,MALE,57.0,GENERAL,YSRCP,Ceiling fan,1437528.0,1417984.0,513563.0,6690.0,520253.0,29.01,36.19,36.69,1793324.0,2024,2.0,False,36.49947978456135,8637.0,
Andhra Pradesh,Hindupur,B K PARTHASARATHI,MALE,64.0,GENERAL,TDP,Bicycle,1424863.0,1398368.0,713013.0,12521.0,725534.0,43.75,50.92,51.88,1658529.0,2024,1.0,True,51.22601298135545,593107.0,132427.0
Andhra Pradesh,Hindupur,J SHANTHA,FEMALE,51.0,GENERAL,YSRCP,Ceiling fan,1424863.0,1398368.0,587406.0,5701.0,593107.0,35.76,41.63,42.41,1658529.0,2024,2.0,False,41.87606215743547,55059.0,
Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,MALE,39.0,GENERAL,YSRCP,Ceiling fan,1327619.0,1305129.0,598406.0,6737.0,605143.0,36.87,45.58,46.37,1641349.0,2024,1.0,True,45.77567654456401,542448.0,62695.0
Andhra Pradesh,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,MALE,37.0,GENERAL,TDP,Bicycle,1327619.0,1305129.0,532358.0,10090.0,542448.0,33.05,40.86,41.56,1641349.0,2024,2.0,False,41.0331511564137,141039.0,
Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),MALE,38.0,GENERAL,JnP,Glass tumbler,1331386.0,1312583.0,718971.0,10728.0,729699.0,44.63,54.81,55.59,1634921.0,2024,1.0,True,54.8727142291001,500208.0,229491.0
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,MALE,54.0,GENERAL,YSRCP,Ceiling fan,1331386.0,1312583.0,495188.0,5020.0,500208.0,30.6,37.57,38.11,1634921.0,2024,2.0,False,37.61519563424056,21109.0,
Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,MALE,45.0,GENERAL,TDP,Bicycle,1339542.0,1320269.0,650335.0,8579.0,658914.0,38.22,49.19,49.91,1724191.0,2024,1.0,True,49.51336809991133,547616.0,111298.0
