candidates,unnamed_1,men,women,third_gender,total,year
, Nominated ,9,4,0,13.0,2019
, Nomination Rejected ,2,1,0,3.0,2019
, Withdrawn ,0,0,0,0.0,2019
, Contested ,7,3,0,10.0,2019
, Forfeited Deposit ,6,2,0,8.0,2019
 ELECTORS ,,,,,,2019
, General ,707693,741531,94,1449318.0,2019
, OverSeas ,13,3,0,16.0,2019
, Service ,1992,92,0,2084.0,2019
, Total ,709698,741626,94,1451418.0,2019
 VOTERS ,,,,,,2019
, General ,523085,544258,19,1067362.0,2019
, Overseas ,0,0,0,0.0,2019
, Proxy ,,,,0.0,2019
, Postal ,,,,10873.0,2019
, Total,,,,1078235.0,2019
, Votes Rejected due to other Reason ,,,,0.0,2019
, POLLING PERCENTAGE ,,,,74.03,2019
 VOTES ,,,,,,2019
, Total Votes Polled On EVM ,,,,1067362.0,2019
, Total Deducted Votes From EVM ,,,,48339.0,2019
, Total Valid Votes polled on EVM ,,,,1019023.0,2019
, Postal Votes Counted ,,,,10873.0,2019
, Postal Votes Deducted ,,,,3335.0,2019
, Valid Postal Votes ,,,,7538.0,2019
, Total Valid Votes Polled ,,,,1026561.0,2019
, Test Votes polled On EVM ,,,,0.0,2019
, Votes Polled for 'NOTA'(Including Postal) ,,,,47977.0,2019
, Tendered Votes ,,,,5.0,2019
 POLLING STATION ,,,,,,2019
, Number ,2035,Average Electors Per Polling,,713.0,2019
, Dates(s) of Re-Poll if Any ,,,,,2019
, Numbers Of Polling Stations where Re-Poll was Order  ,,,,,2019
 DATES  ,,11/04/2019,23/05/2019,24/05/2019,,2019
 RESULT  ,,Party,Candidates,Votes,,2019
, Winner ,Yuvajana Sramika Rythu Congress Party,GODDETI. MADHAVI,562190,,2019
, Runner-Up ,Telugu Desam,KISHORE CHANDRA DEO,338101,,2019
, Margin  ,224089,,,,2019
Disclaimer,,,,,,2019
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,2019
