srno,party_type,abbreviation,party_symbol,party_name,year
1,N,AITC,Flowers and Grass,All India Trinamool Congress,2019
2,N,BJP,Lotus,Bharatiya Janata Party,2019
3,N,BSP,Elephant,Bahujan Samaj Party,2019
4,N,CPI,Ears of Corn And Sickle,Communist Party of India,2019
5,N,CPIM,"Hammer, Sickle and Star",Communist Party of India  (Marxist),2019
6,N,INC,Hand,Indian National Congress,2019
7,N,NCP,Clock,Nationalist Congress Party,2019
8,S,AAAP,Broom,Aam Aadmi Party,2019
9,S,ADMK,Two Leaves,All India Anna Dravida Munnetra Kazhagam,2019
10,S,AGP,Elephant,Asom Gana Parishad,2019
11,S,AIFB,Lion,All India Forward Bloc,2019
12,S,AIMIM,Kite,All India Majlis-E-Ittehadul Muslimeen,2019
13,S,AINRC,Jug,All India N.R. Congress,2019
14,S,AIUDF,Lock and Key,All India United Democratic Front,2019
15,S,AJSUP,Banana,AJSU Party,2019
16,S,BJD,Conch,Biju Janata Dal,2019
17,S,BLSP,Ceiling Fan,Rashtriya Lok Samta Party,2019
18,S,BOPF,Nangol,Bodoland Peoples Front,2019
19,S,DMDK,Nagara,Desiya Murpokku Dravida Kazhagam,2019
20,S,DMK,Rising Sun,Dravida Munnetra Kazhagam,2019
21,S,INLD,Spectacles,Indian National Lok Dal,2019
22,S,IPFT,Dao,Indigenous People's Front of Tripura,2019
23,S,IUML,"Ladder,Auto- Rickshaw,Gas Cylinder",Indian Union Muslim League,2019
24,S,JD(S),A lady farmer carrying paddy on her head,Janata Dal  (Secular),2019
25,S,JD(U),"Air Conditioner,Arrow",Janata Dal  (United),2019
26,S,JKN,Plough,Jammu & Kashmir National Conference,2019
27,S,JKNPP,"Bicycle,Cot",Jammu & Kashmir National Panthers Party,2019
28,S,JKPDP,Ink Pot & Pen,Jammu & Kashmir Peoples Democratic Party,2019
29,S,JMM,"Almirah,Lady Purse,Bow & Arrow,FLUTE,Football,Auto- Rickshaw,Throwing a Javelin",Jharkhand Mukti Morcha,2019
30,S,JVM,Comb,Jharkhand Vikas Morcha (Prajatantrik),2019
31,S,KEC(M),Two Leaves,Kerala Congress  (M),2019
32,S,LJP,Bungalow,Lok Jan Shakti Party,2019
33,S,MNF,Star,Mizo National Front,2019
34,S,NDPP,Globe,Nationalist Democratic Progressive Party,2019
35,S,NPEP,Book,National People's Party,2019
36,S,NPF,Cock,Naga Peoples Front,2019
37,S,PMK,Mango,Pattali Makkal Katchi,2019
38,S,PPA,Maize,People's Party of Arunachal,2019
39,S,RJD,Hurricane Lamp,Rashtriya Janata Dal,2019
40,S,RLD,Hand Pump,Rashtriya Lok Dal,2019
41,S,RSP,Spade & Stoker,Revolutionary Socialist Party,2019
42,S,SAD,Scales,Shiromani Akali Dal,2019
43,S,SDF,Umbrella,Sikkim Democratic Front,2019
44,S,SHS,"Bow & Arrow,Bow and Arrow,Bead Necklace,Air Conditioner,Sewing Machine,Throwing a Javelin,Key,Ganna Kisan,Cauliflower,Bricks,Basket containing Fruits,FLUTE,Cup & Saucer",Shivsena,2019
45,S,SKM,Table Lamp,Sikkim Krantikari Morcha,2019
46,S,SP,"Bicycle,Tractor Chalata Kisan,Helicopter,Air Conditioner",Samajwadi Party,2019
47,S,TDP,Bicycle,Telugu Desam,2019
48,S,TRS,Car,Telangana Rashtra Samithi,2019
49,S,UDP,Drum,United Democratic Party,2019
50,S,YSRCP,Ceiling Fan,Yuvajana Sramika Rythu Congress Party,2019
51,U,AABHAP,Balloon,Aajad Bharat Party (Democratic),2019
52,U,AACP,Batsman,Adarshwaadi Congress Party,2019
53,U,AAHPty,Apple,Aap Aur Hum Party,2019
54,U,AAM,CHAPATI ROLLER,Aam Adhikar Morcha,2019
55,U,AAPP,Battery torch,Aapki Apni Party (Peoples),2019
56,U,ABD,Neck Tie,Adim Bhartiya Dal,2019
57,U,ABEP,Man Blowing Turha,Akhil Bhartiya Ekata Party,2019
58,U,ABGP,"Battery torch,Saw",Akhil Bhartiya Gondwana Party,2019
59,U,ABHM,"DIAMOND,Auto- Rickshaw,Plate Containing Food",Akhil Bharat Hindu Mahasabha,2019
60,U,ABHP,Ear Rings,Adhunik Bharat Party,2019
61,U,ABHS,Gas Cylinder,Akhil Bharatiya Sena,2019
62,U,ABJS,"Battery torch,Tractor Chalata Kisan,Key,Helicopter,Ganna Kisan",Akhil Bharatiya Jan Sangh,2019
63,U,ABLP,Pot,Akhil Bhartiya Lok Dal,2019
64,U,ABML(S),"Tractor Chalata Kisan,Bat",Akhil Bharatiya Muslim League (Secular),2019
65,U,ABMP,"Pen Nib with Seven Rays,Kettle",Akhil Bharatiya Manavata Paksha,2019
66,U,ABNNP,Tea Filter,Akhil Bhartiya Navnirman Party,2019
67,U,ABSKP,Plastering Trowel,Akhil Bharat Samagra Kranti Party,2019
68,U,ABSSP,Bat,Akhil Bhartiya Sarvadharma Samaj Party,2019
69,U,ACDP,Jackfruit,Anti Corruption Dynamic Party,2019
70,U,ACP,Tooth Brush,Andhra Chaitanya Party,2019
71,U,ADAL,Cup & Saucer,Apna Dal (Soneylal),2019
72,U,ADPT,"Pressure Cooker,Balloon",Apna Desh Party,2019
73,U,ADRP,Auto- Rickshaw,Assam Dristi Party,2019
74,U,ADRSP,Walking Stick,Adarsh Samaj Party,2019
75,U,ADUP,Tractor Chalata Kisan,Apna Dal United Party,2019
76,U,AgIMK,BUCKET,Agila India Makkal Kazhagam,2019
77,U,AHFBK,CHESS BOARD,Akhil Hind Forward Bloc (Krantikari),2019
78,U,AHIMSASP,HOCKEY & BALL,Ahimsa Socialist Party,2019
79,U,AHNP,CHAPATI ROLLER,Aihra National Party,2019
80,U,aicp,"CCTV Camera,Auto- Rickshaw",New All India Congress Party,2019
