state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,MALE,73.0,GENERAL,BJP,Lotus,202597.0,200705.0,102182.0,254.0,102436.0,32.44,50.56,51.04,315745.0,2024,1,True,50.58218197260437,78040.0,24396.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,MALE,56.0,GENERAL,INC,Hand,202597.0,200705.0,77829.0,211.0,78040.0,24.72,38.52,38.88,315745.0,2024,2,False,38.53560741479601,8254.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MANOJ PAUL,MALE,35.0,GENERAL,ANDC,Coconut farm,202597.0,200705.0,8236.0,18.0,8254.0,2.61,4.07,4.11,315745.0,2024,3,False,4.0757676012522595,6017.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,D AYYAPPAN,MALE,60.0,GENERAL,CPI(M),"Hammer, Sickle and Star",202597.0,200705.0,6009.0,8.0,6017.0,1.91,2.97,3.0,315745.0,2024,4,False,2.971152611671292,2203.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V.K. ABDUL AZIZ,MALE,42.0,GENERAL,IND,Chakki,202597.0,200705.0,2195.0,8.0,2203.0,0.7,1.09,1.1,315745.0,2024,5,False,1.0878260268425886,1809.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,,,,NOTA,NOTA,202597.0,200705.0,1802.0,7.0,1809.0,0.57,0.89,0.9,315745.0,2024,6,False,0.893271576286084,914.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K J B SELVARAJ,MALE,50.0,GENERAL,ADMK,Two leaves,202597.0,200705.0,911.0,3.0,914.0,0.29,0.45,0.46,315745.0,2024,7,False,0.4513268218493537,719.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,DR ARUN KUMAR MALLIK,MALE,64.0,GENERAL,BSP,Elephant,202597.0,200705.0,714.0,5.0,719.0,0.23,0.35,0.36,315745.0,2024,8,False,0.35503718261453526,542.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RINKU MALA MONDAL,FEMALE,36.0,GENERAL,IND,Camera,202597.0,200705.0,539.0,3.0,542.0,0.17,0.27,0.27,315745.0,2024,9,False,0.2676358177706233,507.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,MALE,50.0,GENERAL,IND,Auto- rickshaw,202597.0,200705.0,506.0,1.0,507.0,0.16,0.25,0.25,315745.0,2024,10,False,0.25035306201052765,380.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,USHA KUMARI,FEMALE,39.0,GENERAL,IND,Flute,202597.0,200705.0,378.0,2.0,380.0,0.12,0.19,0.19,315745.0,2024,11,False,0.1876413482524665,351.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SALAMAT MONDAL,MALE,48.0,GENERAL,SUCI,Battery Torch,202597.0,200705.0,349.0,2.0,351.0,0.11,0.17,0.17,315745.0,2024,12,False,0.173321350622673,342.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANAND RAMNATH ARLEKAR,MALE,58.0,GENERAL,IND,Gas cylinder,202597.0,200705.0,342.0,0.0,342.0,0.11,0.17,0.17,315745.0,2024,13,False,0.16887721342721984,,
Andhra Pradesh,Amalapuram,G M HARISH (BALAYOGI),MALE,33.0,SC,TDP,Bicycle,1301934.0,1287588.0,786149.0,10832.0,796981.0,52.01,61.22,61.9,1532229.0,2024,1,True,61.25411765067565,454785.0,342196.0
Andhra Pradesh,Amalapuram,RAPAKA VARAPRASADA RAO,MALE,65.0,SC,YSRCP,Ceiling fan,1301934.0,1287588.0,450362.0,4423.0,454785.0,29.68,34.93,35.32,1532229.0,2024,2,False,34.95372398559379,15082.0,
Andhra Pradesh,Amalapuram,GOUTHAM JANGA,MALE,54.0,SC,INC,Hand,1301934.0,1287588.0,14523.0,559.0,15082.0,0.98,1.16,1.17,1532229.0,2024,3,False,1.1591676619737363,13518.0,
Andhra Pradesh,Amalapuram,NOTA,,,,NOTA,NOTA,1301934.0,1287588.0,13418.0,100.0,13518.0,0.88,1.04,1.05,1532229.0,2024,4,False,1.0389622367432014,5388.0,
Andhra Pradesh,Amalapuram,DORABABU YALLA,MALE,59.0,SC,BSP,Elephant,1301934.0,1287588.0,5202.0,186.0,5388.0,0.35,0.41,0.42,1532229.0,2024,5,False,0.4141092270729671,3741.0,
Andhra Pradesh,Amalapuram,KATRU NAGA BABU,MALE,30.0,SC,TLGUNGP,Diamond,1301934.0,1287588.0,3736.0,5.0,3741.0,0.24,0.29,0.29,1532229.0,2024,6,False,0.28752461367482746,2977.0,
Andhra Pradesh,Amalapuram,VADDI LALITH KUMAR,MALE,64.0,SC,IND,Bucket,1301934.0,1287588.0,2974.0,3.0,2977.0,0.19,0.23,0.23,1532229.0,2024,7,False,0.22880533945735396,2111.0,
Andhra Pradesh,Amalapuram,MAKEY DAVY PRASAD,MALE,71.0,SC,IND,Whistle,1301934.0,1287588.0,2104.0,7.0,2111.0,0.14,0.16,0.16,1532229.0,2024,8,False,0.16224658098571523,1745.0,
Andhra Pradesh,Amalapuram,GUDE VENKATESWARULU,MALE,51.0,SC,IND,Coconut farm,1301934.0,1287588.0,1741.0,4.0,1745.0,0.11,0.13,0.14,1532229.0,2024,9,False,0.13411666689723975,872.0,
Andhra Pradesh,Amalapuram,RAMESH JILLELLA,MALE,28.0,SC,JJSP,Pen stand,1301934.0,1287588.0,866.0,6.0,872.0,0.06,0.07,0.07,1532229.0,2024,10,False,0.0670199046042367,740.0,
Andhra Pradesh,Amalapuram,YALANGI RAMESH,MALE,61.0,SC,JRBP,Coat,1301934.0,1287588.0,738.0,2.0,740.0,0.05,0.06,0.06,1532229.0,2024,11,False,0.056874689687081606,726.0,
Andhra Pradesh,Amalapuram,GIDDI JNANA PRAKASA RAO,MALE,62.0,SC,RPI,Apple,1301934.0,1287588.0,717.0,9.0,726.0,0.05,0.06,0.06,1532229.0,2024,12,False,0.05579868204435304,719.0,
Andhra Pradesh,Amalapuram,MATHA KRISHNA,MALE,39.0,SC,PPOI,Television,1301934.0,1287588.0,718.0,1.0,719.0,0.05,0.06,0.06,1532229.0,2024,13,False,0.05526067822298875,635.0,
Andhra Pradesh,Amalapuram,YADLA RAJESH,MALE,32.0,SC,LBCP,Well,1301934.0,1287588.0,628.0,7.0,635.0,0.04,0.05,0.05,1532229.0,2024,14,False,0.04880463236661733,581.0,
Andhra Pradesh,Amalapuram,KAPA KALYAN,MALE,47.0,SC,RPPRINAT,Jackfruit,1301934.0,1287588.0,579.0,2.0,581.0,0.04,0.04,0.05,1532229.0,2024,15,False,0.044654317173235696,505.0,
Andhra Pradesh,Amalapuram,PATHURI RAMESH,MALE,39.0,SC,PPID,Air conditioner,1301934.0,1287588.0,502.0,3.0,505.0,0.03,0.04,0.04,1532229.0,2024,16,False,0.03881313282699488,,
Andhra Pradesh,Anakapalle,C.M.RAMESH,MALE,58.0,GENERAL,BJP,Lotus,1328726.0,1299097.0,750027.0,12042.0,762069.0,47.59,57.35,58.66,1601365.0,2024,1,True,57.50023390365584,465539.0,296530.0
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,MALE,60.0,GENERAL,YSRCP,Ceiling fan,1328726.0,1299097.0,459762.0,5777.0,465539.0,29.07,35.04,35.84,1601365.0,2024,2,False,35.12621743080224,26235.0,
