sr_no,party_type,abbreviation,party_symbol,party_name,year
1,N,AAAP,Broom,Aam Aadmi Party,2024
2,N,BJP,Lotus,Bharatiya Janata Party,2024
3,N,BSP,Elephant,Bahujan Samaj Party,2024
4,N,CPI(M),"Hammer, Sickle and Star",Communist Party of India (Marxist),2024
5,N,INC,Hand,Indian National Congress,2024
6,N,NPEP,Book,National People's Party,2024
7,S,ADAL,Cup & saucer,Apna Dal (Soneylal),2024
8,S,ADMK,Two leaves,All India Anna Dravida Munnetra Kazhagam,2024
9,S,AGP,Elephant,Asom Gana Parishad,2024
10,S,AIFB,Lion,All India Forward Bloc,2024
11,S,AIMIM,Kite,All India Majlis-E-Ittehadul Muslimeen,2024
12,S,AITC,Flowers and Grass,All India Trinamool Congress,2024
13,S,AIUDF,Lock and key,All India United Democratic Front,2024
14,S,AJSUP,Banana,AJSU Party,2024
15,S,BHRS,Car,Bharat Rashtra Samithi,2024
16,S,BJD,Conch,Biju Janata Dal,2024
17,S,BOPF,Nangol,Bodoland Peoples Front,2024
18,S,CPI,Ears of corn and sickle,Communist Party of India,2024
19,S,CPI(ML)(L),Flag with three stars,Communist Party of India (Marxist-Leninist) (Liberation),2024
20,S,DMDK,Nagara,Desiya Murpokku Dravida Kazhagam,2024
21,S,DMK,Rising sun,Dravida Munnetra Kazhagam,2024
22,S,INLD,Spectacles,Indian National Lok Dal,2024
23,S,IUML,Ladder,Indian Union Muslim League,2024
24,S,JD(S),A lady farmer carrying paddy on her head,Janata Dal (Secular),2024
25,S,JD(U),Arrow,Janata Dal (United),2024
26,S,JKN,Plough,Jammu & Kashmir National Conference,2024
27,S,JKNPPB,Table,Jammu & Kashmir National Panthers Party (Bhim),2024
28,S,JKPDP,Ink pot & pen,Jammu & Kashmir Peoples Democratic Party,2024
29,S,JMM,Bow & arrow,Jharkhand Mukti Morcha,2024
30,S,JNJP,Key,Jannayak Janta Party,2024
31,S,KEC(M),Two leaves,Kerala Congress (M),2024
32,S,LJPRV,Helicopter,Lok Janshakti Party(Ram Vilas),2024
33,S,MNF,Star,Mizo National Front,2024
34,S,NCP,Clock,Nationalist Congress Party,2024
35,S,NCPSP,Man blowing turha,Nationalist Congress Party – Sharadchandra Pawar,2024
36,S,NDPP,Globe,Nationalist Democratic Progressive Party,2024
37,S,NPF,Cock,Naga Peoples Front,2024
38,S,RJD,Hurricane lamp,Rashtriya Janata Dal,2024
39,S,RLTP,Bottle,Rashtriya Loktantrik Party,2024
40,S,RSP,"Electric pole,Spade & stoker",Revolutionary Socialist Party,2024
41,S,RVLTGONP,Football,Revolutionary Goans Party,2024
42,S,SAD,Scales,Shiromani Akali Dal,2024
43,S,SDF,Umbrella,Sikkim Democratic Front,2024
44,S,SHS,Bow and arrow,Shiv Sena,2024
45,S,SHSUBT,Flaming torch,Shiv Sena (Uddhav Balasaheb Thackrey),2024
46,S,SKM,Table lamp,Sikkim Krantikari Morcha,2024
47,S,SP,"Bicycle,Bicycle pump",Samajwadi Party,2024
