party,candidate_count
IND,3921
NOTA,542
BSP,488
BJP,440
INC,328
SUCI,150
PPID,79
SP,71
CPI(M),52
AITC,48
BHRJWNKP,41
BSCP,40
NTK,40
APoI,38
VBA,38
ADMK,36
AKBRPRVP,36
RTORP,33
AIFB,32
CPI,30
BMUP,28
KRS,28
PPOI,26
ASPKR,26
YSRCP,25
RJD,24
GGP,23
SRPSP,23
BHRTADVSIP,22
RPI(A),22
AAAP,22
SAP,22
DMK,22
SHSUBT,21
BJD,21
UPJP,20
ESBD,19
RJBP,19
RSPS,18
VKVIP,18
BARESP,18
TDP,17
NRCP,17
BHRS,17
AISF,17
SDPI,16
JD(U),16
AIMIM,15
BGDRPP,15
BHMS,15
SHS,15
DHRMSMJP,15
JBNP,14
SAD(M),14
BHUDRP,14
AODRP,14
VCK,13
BAHUMP,13
SP(I),13
SAD,13
JRBP,12
NCPSP,12
LKHAP,12
NADLMMKLK,12
RPPRINAT,11
GNASURKP,11
VPI,11
DJHP,11
BNARP,11
APNDLK,11
IPBP,10
RSP,10
LGP,10
JNJP,10
BUJNBHRTP,10
MADP,10
MVA,10
PMK,10
PRCP,9
BHYUJEP,9
RTSMJD,9
RSUP,9
PECP,9
VTVTK,9
DMSK,9
SMKNK,9
RSOSP,9
LBCP,8
YGATLSIP,8
SaSP,8
HMR,8
IPGP,8
MPOI,8
JJSP,7
BCYP,7
AYSRCP,7
CPI(ML)(L),7
JMBP,7
URPI,7
HSP,7
RJsbhP,7
INLD,7
AJPI,7
BALP,7
NATJUP,7
BTC,7
GPI,7
RPC(S),6
BRRTD,6
RUC,6
JRJP,6
JNTRAAWJP,6
BHRTSP,6
PBI,6
SSBD,6
JSDP,6
RaNP,6
KMSP,6
JMM,6
SMJVKP,6
PuPP,6
HJP,6
TK,6
SJPI,6
KPPU,6
DABAP,5
JCVIVP,5
MCPI,5
NNKP,5
NBBHNRSVP,5
BGanP,5
RSTJLKPS,5
LJPRV,5
SMJDRP,5
NBEP,5
MOSP,5
SBSPSP,5
DBSP,5
GBLRPBP,5
BHRTASP,5
JKNPPB,5
HSS,5
JKP,5
BLRP,5
PHJSP,5
NCP,5
AAS,5
RKBP,5
AIMEIEM,5
SMNKJP,5
RTPP,5
AMGRDMK,5
DMDK,5
ACDP,5
AVRMK,5
BHRTPRJAIK,5
VTRP,5
RPI,4
NavaP,4
NMSP,4
ILP(AP),4
BOPF,4
TNRMPI,4
JPJD,4
JNJWDIP,4
RGD,4
CCP,4
LLRP,4
INL,4
ALHP,4
SRVADID,4
cvgrp,4
NDS,4
SWNTRABYKT,4
SVPP,4
HS,4
LOKJANP,4
RTRYDVBHMP,4
BHRTJDOP,4
INSAF,4
TPSTP,4
SAJP,4
GaAP,4
BPKP,4
KAP,4
YSEP,4
BDJS,4
PSJP,4
JYVDRBP,4
BSP(A),4
SSS,4
apnipp,4
AAPP,4
JIHNDNTLP,4
SWAJANPA,4
NAPt,4
JASWP,4
JANKRPR,4
ARPS,3
TLRDSMTP,3
AlPP,3
AIUDF,3
AJM,3
BMF,3
KPJD,3
WAP,3
BHRTLKCHTP,3
VSIP,3
AMiP,3
SMJSKTP,3
RSTRSNTP,3
HRJSP,3
SPIP,3
,3
GSNJP,3
BTJP,3
GRBKLYNP,3
NIUP,3
BNJD,3
ISP,3
RMBP,3
JKN,3
JKPDP,3
NLP,3
JAKNPF,3
RaJPa,3
AJSUP,3
RSMD,3
MARD,3
NBHS,3
RPIK,3
KKJHS,3
KRUNDSVKRA,3
JD(S),3
PMPT,3
IUML,3
RSTRSMPRP,3
MAHP,3
JASP,3
RTJSD,3
bns,3
JNSGNDWP,3
RASMARP,3
MNDP,3
NPEP,3
INGRP,3
SBNP,3
BSKRP,3
RJSPS,3
SAMO,3
MLD,3
NJNDL,3
BJSAP,3
PNJBNP,3
MMKA,3
TMC(M),3
UMK,3
PMTDK,3
TRP,3
TJP,3
BKPP,3
PGSP,3
SMKP,3
BKrD,3
MwSP,3
UKKD,3
NBNGPLPP,3
AIAM,3
PDS,3
CHALP,2
JNSHSK,2
JnP,2
JAC,2
AHNP,2
AGP,2
BNGNBNRMS,2
AHFBK,2
BDlP,2
AJPR,2
LSWP,2
HNDPPD,2
BJKD,2
BJKVP,2
APKSP,2
BRMNP,2
BRTYLKNYKP,2
AJP,2
LCPY,2
RGOP,2
LSEP,2
