party,candidate_count
IND,3461
NOTA,543
BJP,436
INC,421
BSP,383
BMUP,119
SUCI(C),113
CPIM,98
SHS,98
PSPL,83
APoI,77
AITC,62
PPID,56
BHAPRAP,52
CPI,49
SP,49
PPOI,48
HND,47
VBA,47
NTK,39
MNM,37
AAAP,35
AIFB,35
BSCP,35
RPI(A),34
NCP,34
BARESP,27
UPJP,27
YSRCP,25
TDP,25
JD(U),25
JnP,24
SBSP,24
DMK,24
CPI(ML)(L),22
GGP,22
AAPP,22
ADMK,22
ANC,21
RJD,21
BJD,21
BAHUMP,20
VPI,20
JANADIP,19
BTP,19
TRS,17
TNLK,16
SDPI,14
PUJP,14
BKNP,14
RTORP,14
PECP,14
JMM,13
MADP,13
RJBP,13
IPBP,12
SPAKP,12
SMFB,11
NPEP,11
JPJD,11
RSPS,11
ACDP,11
BMFP,10
INLD,10
DMSK,10
SAD,10
IUML,9
JD(S),9
RUC,9
PBI,9
HSS,9
AMB,9
HBP,9
BLSD,9
SWAJANPA,9
BLND,8
JKiP,8
JKNPP,8
RasLP,8
SABHP,8
AHNP,8
ASP,8
BPSJP,8
JAJGP,7
SSD,7
BMF,7
BLRP,7
BJKVP,7
BALP,7
BJKD,7
RRP,7
SGUP,7
RJsbhP,7
LOGAP,7
JNJP,7
SatBP,7
JAC,7
HJP,7
ssrd,7
RSOSP,7
RJSPS,7
PMK,7
AJPI,7
BNARP,7
VCK,6
MCPI,6
ABJS,6
LJP,6
BBC,6
PSS,6
RAHIS,6
RPI,6
SANVP,6
SAKAP,6
YJJP,6
RSP,6
NAP,6
UMK,6
RaJSP,6
KPPU,6
NRCP,5
RSPSR,5
BLSP,5
AAM,5
AKBHAD,5
JanSP,5
BSP(A),5
JSVP,5
RaNP,5
ABHM,5
KS,5
KKJHS,5
BBKD,5
AgIMK,5
ABGP,5
RASMARP,5
PRCP,5
MKDVP,5
KBD,5
PRISM,5
RTKP,5
LD,5
PDS,5
RJNP,5
AINHCP,4
MPP,4
PRSHP,4
ILP(AP),4
RKSP,4
BGanP,4
BNJD,4
AJM,4
ASDHP,4
VSIP,4
RVNP,4
YKP,4
JP,4
BNDl,4
VCSMP,4
KMSP,4
MaNPa,4
JANSAPP,4
VPP,4
SVPP,4
BHTJP,4
AVIRP,4
JJJKP,4
JKPP,4
JKP,4
RPIK,4
SDC,4
KKMP,4
rpsn,4
ICF,4
BDJS,4
SMARTIP,4
AABHAP,4
ARK,4
BAAP,4
BLokSP,4
NATJUP,4
DMDK,4
BARP,4
BKrD,4
NEP,4
BJNP,4
BAWPA,4
UKKD,4
UKDD,4
DABAP,3
AINPP,3
AGP,3
AIUDF,3
SwaBP,3
HAMS,3
BDlP,3
JTVP,3
JDR,3
MOSP,3
AJPR,3
RMGP,3
BMtrP,3
AIMIM,3
PMPT,3
BHAIP,3
BSSPA,3
RaJPa,3
BHBHP,3
SWAP,3
RPWP,3
GAGUP,3
RASAP,3
DSPVAD,3
RMEP,3
JKN,3
JPC,3
PDP,3
VSP,3
BPKP,3
SJPA,3
INCP,3
MLPOIRF,3
MPJVP,3
PSJP,3
MNDP,3
SP(I),3
JNSMP,3
BMVSP,3
bns,3
STBP,3
AIMF,3
JMBP,3
RHSP,3
KRUP,3
FPI,3
DPIN,3
PUNEKP,3
LIP,3
PPIS,3
GPI,3
ETMK,3
SJPI,3
PGSP,3
VIP,3
RLD,3
ASaP,3
PMSP,3
PRJP,3
SDU,3
SBSPSP,3
NDPOI,3
RPI(KH),2
VJNP,2
NPT,2
AYSRCP,2
PPA,2
TNRMPI,2
NRCong,2
AHFBK,2
SPL,2
PMP,2
BRM,2
SAAFP,2
LJVM,2
AMiP,2
GJNP,2
ManJP,2
JGHTP,2
SaBP,2
RSJVP,2
JPS,2
BJAZP,2
KPOI,2
BJSAP,2
SVJSP,2
AVVP,2
SDP(MP),2
CSM,2
cvgrp,2
BYPP,2
,2
STBSP,2
ADPT,2
RSP(S),2
aicp,2
YuS,2
LTSP,2
VoP,2
HCP,2
SNP,2
RGD,2
RMPOI,2
RADM,2
JKPDP,2
DSSP,2
BaSaPa,2
JVM,2
PSPU,2
JKP(N),2
BMSM,2
RJANSWP,2
KJP,2
ABML(S),2
PrStP,2
BBM,2
KPPR,2
igp,2
BTARP,2
NATWOMP,2
RPIR,2
RsAD,2
PHRC,2
RJanPty,2
ARP,2
ALoP,2
MSHP,2
SWP,2
ABMP,2
HAPa,2
NEINDP,2
UtPP,2
CHALP,2
ATBP,2
RAJADP,2
NYP,2
SAD(M),2
IDRP,2
BRKP(D),2
IPGP,2
MKat,2
AMPK,2
DUUK,2
APEP,2
NIDP,2
NIP,2
IPFT,2
ADRSP,2
SABJANP,2
BHABHAPA,2
MwSP,2
JaSD,2
svjn,2
SACP,2
RJAPU,2
JANKRPR,2
JRPa,2
SDSP,2
AKSP,2
RAPI,2
JSP,2
ALHP,2
MSJP,2
JHBHP,2
VIPty,2
RBJJP,2
NJANP,2
SFP,2
JDL,2
INL,2
MARD,2
JaSSP,2
ADAL,2
BhBSP,2
RSMD,2
BHHF,2
JeSM,2
WPOI,2
MPOI,2
BHMP,2
IUC,2
RD,1
AlPP,1
NDDHP,1
HMRD,1
RDHP,1
RRS,1
BCUF,1
NNKP,1
NVSP,1
RPC(S),1
NavaP,1
ARPS,1
JPD,1
SAPRP,1
ACP,1
ASDC,1
BOPF,1
UPPL,1
ADRP,1
BKVP,1
RDU,1
mimm,1
BBMP,1
ravp,1
SJDD,1
RSWD,1
JAPL,1
AKBMP,1
BNSKP,1
BhNP,1
AAHPty,1
NJP,1
BIP,1
LAJSP,1
BhAmAP,1
APKSP,1
RACHEP,1
RJPD,1
WAP,1
RSTSAHP,1
SWSP,1
JHP,1
LSD,1
JRVP,1
RPP,1
LCD,1
CHKAP,1
BhaRP,1
ABSKP,1
BSHSP,1
SUSP,1
RGOP,1
SSBD,1
BHBP,1
FDLP,1
RP(K),1
NSBHP,1
RPI(KM),1
NIRBHP,1
PAP,1
LoRP,1
BSDL,1
BRP,1
RNNBP,1
GJPP,1
RVZP,1
REALDP,1
ABD,1
LPSP,1
RVP,1
RPIE,1
