party,candidate_count,party_type,alliance_2024,ideology,region
IND,3921,independent,OTHER,independent,local
NOTA,542,nota,NONE,none,none
BSP,488,national,OTHER,bahujan_social_justice,uttar_pradesh
BJP,440,national,NDA,centre-right,national
INC,328,national,INDIA,centre-left,national
SUCI,150,unknown,OTHER,unknown,unknown
PPID,79,unknown,OTHER,unknown,unknown
SP,71,regional,INDIA,socialist,uttar_pradesh
CPI(M),52,national,INDIA,far-left,national
AITC,48,regional,INDIA,centre,west_bengal
BHRJWNKP,41,unknown,OTHER,unknown,unknown
BSCP,40,unknown,OTHER,unknown,unknown
NTK,40,unknown,OTHER,unknown,unknown
APoI,38,unknown,OTHER,unknown,unknown
VBA,38,unknown,OTHER,unknown,unknown
ADMK,36,unknown,OTHER,unknown,unknown
AKBRPRVP,36,unknown,OTHER,unknown,unknown
RTORP,33,unknown,OTHER,unknown,unknown
AIFB,32,unknown,OTHER,unknown,unknown
CPI,30,national,INDIA,far-left,national
BMUP,28,unknown,OTHER,unknown,unknown
KRS,28,unknown,OTHER,unknown,unknown
PPOI,26,unknown,OTHER,unknown,unknown
ASPKR,26,unknown,OTHER,unknown,unknown
YSRCP,25,regional,OTHER,regional_centre,andhra_pradesh
RJD,24,regional,INDIA,social_justice,bihar
GGP,23,unknown,OTHER,unknown,unknown
SRPSP,23,unknown,OTHER,unknown,unknown
BHRTADVSIP,22,unknown,OTHER,unknown,unknown
RPI(A),22,unknown,OTHER,unknown,unknown
AAAP,22,national,INDIA,welfare_populist,delhi_punjab
SAP,22,unknown,OTHER,unknown,unknown
DMK,22,regional,INDIA,dravidian,tamil_nadu
SHSUBT,21,regional,INDIA,marathi_regionalist,maharashtra
BJD,21,regional,OTHER,regional_centre,odisha
UPJP,20,unknown,OTHER,unknown,unknown
ESBD,19,unknown,OTHER,unknown,unknown
RJBP,19,unknown,OTHER,unknown,unknown
RSPS,18,unknown,OTHER,unknown,unknown
VKVIP,18,unknown,OTHER,unknown,unknown
BARESP,18,unknown,OTHER,unknown,unknown
TDP,17,regional,NDA,regional_centre,andhra_pradesh
NRCP,17,unknown,OTHER,unknown,unknown
BHRS,17,unknown,OTHER,unknown,unknown
AISF,17,unknown,OTHER,unknown,unknown
SDPI,16,unknown,OTHER,unknown,unknown
JD(U),16,regional,NDA,regional_centre,bihar
AIMIM,15,unknown,OTHER,unknown,unknown
BGDRPP,15,unknown,OTHER,unknown,unknown
