state,constituency,actual_winner,actual_party,actual_vote_share,actual_margin_votes,sim_winner,sim_party,sim_vote_share,flipped
Maharashtra,Mumbai North West,RAVINDRA DATTARAM WAIKAR,SHS,47.400305150381335,48.0,AMOL GAJANAN KIRTIKAR,SHSUBT,47.65699368289205,True
Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,BJP,47.20118321445085,2678.0,DR. NAVAL KISHOR SHAKYA,SP,48.94213740841986,True
Uttar Pradesh,Bansgaon,KAMLESH PASWAN,BJP,45.37571856645529,3150.0,SADAL PRASAD,INC,45.9615322594564,True
Uttar Pradesh,Phulpur,PRAVEEN PATEL,BJP,44.59886640442087,4332.0,AMAR NATH SINGH MAURYA,SP,46.17199435567152,True
Uttar Pradesh,Meerut,ARUN GOVIL,BJP,46.213843966785035,10585.0,SUNITA VERMA,SP,47.318690649051696,True
Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,BJP,44.2781943343986,15647.0,BIJENDRA SINGH,SP,44.89761648046614,True
Uttar Pradesh,Hardoi,JAI PRAKASH,BJP,44.249697304647874,27856.0,USHA VERMA,SP,43.71760068938184,True
Uttar Pradesh,Misrikh,ASHOK KUMAR RAWAT,BJP,45.15434184772948,33406.0,SANGITA RAJVANSHI,SP,43.97881524701446,True
Uttar Pradesh,Bareilly,CHHATRA PAL SINGH GANGWAR,BJP,50.65633044469335,34804.0,PRAVEEN SINGH ARON,SP,49.54760360785238,True
Uttar Pradesh,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,BJP,47.31219538790313,35818.0,ANNU TANDON,SP,46.56176940129973,True
Kerala,Attingal,ADOOR PRAKASH,INC,33.29314420084011,684.0,ADOOR PRAKASH,INC,33.29314420084011,False
Odisha,Jajpur,RABINDRA NARAYAN BEHERA,BJP,46.00717528642586,1587.0,RABINDRA NARAYAN BEHERA,BJP,46.00717528642586,False
Rajasthan,JAIPUR RURAL,RAO RAJENDRA SINGH,BJP,48.9580477538996,1615.0,RAO RAJENDRA SINGH,BJP,48.95804775389959,False
Chhattisgarh,KANKER,BHOJRAJ NAG,BJP,47.22698784364828,1884.0,BHOJRAJ NAG,BJP,47.226987843648274,False
Chandigarh,Chandigarh,MANISH TEWARI,INC,48.223693728785264,2504.0,MANISH TEWARI,INC,48.22369372878526,False
Uttar Pradesh,Hamirpur,AJENDRA SINGH LODHI,SP,43.99564601062136,2629.0,AJENDRA SINGH LODHI,SP,45.99564601062136,False
Lakshadweep,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,INC,52.288617886178855,2647.0,MUHAMMED HAMDULLAH SAYEED,INC,52.28861788617887,False
Punjab,Firozpur,SHER SINGH GHUBAYA,INC,23.697666460761788,3242.0,SHER SINGH GHUBAYA,INC,23.697666460761788,False
Uttar Pradesh,Salempur,RAMASHANKAR RAJBHAR,SP,44.19978154752432,3573.0,RAMASHANKAR RAJBHAR,SP,46.19978154752432,False
Maharashtra,Dhule,BACHHAV SHOBHA DINESH,INC,47.885540414747865,3831.0,BACHHAV SHOBHA DINESH,INC,49.131196396731525,False
Tamil Nadu,VIRUDHUNAGAR,MANICKAM TAGORE B,INC,36.27984152948345,4379.0,MANICKAM TAGORE B,INC,36.279841529483456,False
Uttar Pradesh,Dhaurahra,ANAND BHADAURIYA,SP,39.91043731736471,4449.0,ANAND BHADAURIYA,SP,41.91043731736471,False
Telangana,Mahbubnagar,ARUNA. D. K,BJP,41.65697451548759,4500.0,ARUNA. D. K,BJP,41.656974515487605,False
West Bengal,Bishnupur,KHAN SAUMITRA,BJP,44.92651954722725,5567.0,KHAN SAUMITRA,BJP,44.92651954722725,False
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,PATEL UMESHBHAI BABUBHAI,IND,46.01558272914187,6225.0,PATEL UMESHBHAI BABUBHAI,IND,46.01558272914187,False
West Bengal,Arambag,BAG MITALI,AITC,45.70563775151869,6399.0,BAG MITALI,AITC,45.70563775151869,False
Maharashtra,Beed,BAJRANG MANOHAR SONWANE,NCPSP,44.92887383851356,6553.0,BAJRANG MANOHAR SONWANE,NCPSP,45.613069886815786,False
West Bengal,Balurghat,SUKANTA MAJUMDAR,BJP,46.47153336113563,10386.0,SUKANTA MAJUMDAR,BJP,46.47153336113561,False
Punjab,Anandpur Sahib,MALVINDER SINGH KANG,AAAP,29.07903739870006,10846.0,MALVINDER SINGH KANG,AAAP,29.07903739870007,False
Kerala,Mavelikkara,KODIKUNNIL SURESH,INC,41.28804173543054,10868.0,KODIKUNNIL SURESH,INC,41.28804173543055,False
