state,constituency,actual_winner,actual_party,actual_vote_share,actual_margin_votes,sim_winner,sim_party,sim_vote_share,flipped
Uttar Pradesh,Machhlishahr,Bholanath (B.P. Saroj),BJP,47.19153561852308,181.0,Tribhuvan Ram (T.Ram),BSP,48.13678206988281,True
Uttar Pradesh,Meerut,RAJENDRA AGARWAL,BJP,48.18955404126723,4729.0,HAJI MOHAMMAD YAQOOB,BSP,48.77631434154589,True
Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,BJP,49.460765763474825,6526.0,Ajit Singh,RLD,49.89613672308832,True
Uttar Pradesh,Kannauj,SUBRAT PATHAK,BJP,49.372115290189534,12353.0,DIMPLE YADAV,SP,50.28899005345043,True
Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,BJP,47.073857954341214,13959.0,Sanjay Singh Chauhan,SP,47.787267929446315,True
Uttar Pradesh,Sultanpur,MANEKA SANJAI GANDHI,BJP,45.905093990299065,14526.0,"CHANDRA BHADRA SINGH ""SSONU""",BSP,45.360155986626594,True
Uttar Pradesh,Ballia,Virendra Singh,BJP,47.39808352159979,15519.0,Sanatan Pandey,SP,47.83008329527589,True
Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,BJP,47.29875100706588,18454.0,Dharmendra Yadav,SP,47.59180324684514,True
Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,BJP,46.08557199502541,28781.0,Akshay Yadav,SP,45.41042471831994,True
Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,BJP,39.30563052754511,38722.0,INDRAJEET SAROJ,SP,37.33185282183167,True
Lakshadweep,Lakshadweep,MOHAMMED FAIZAL PP,NCP,48.609840668808104,823.0,MOHAMMED FAIZAL PP,NCP,48.6098406688081,False
West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),AITC,44.153355240318994,1142.0,APARUPA PODDAR (AFRIN ALI),AITC,44.15335524031901,False
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,INC,45.976767520839765,1407.0,KULDEEP RAI SHARMA,INC,45.976767520839765,False
Jharkhand,Khunti,ARJUN MUNDA,BJP,45.96931438518844,1445.0,ARJUN MUNDA,BJP,45.96931438518844,False
Bihar,Jahanabad,CHANDESHWAR PRASAD,JD(U),40.822076113202726,1751.0,CHANDESHWAR PRASAD,JD(U),40.82207611320272,False
Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,BJP,44.74351084241393,1817.0,V. SRINIVAS PRASAD,BJP,44.743510842413926,False
West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,BJP,41.756669716198175,2439.0,S.S AHLUWALIA,BJP,41.756669716198175,False
Tamil Nadu,Chidambaram,THIRUMAAVALAVAN THOL,VCK,43.377772305045475,3219.0,THIRUMAAVALAVAN THOL,VCK,43.37777230504547,False
Odisha,Koraput,SAPTAGIRI SANKAR ULAKA,INC,34.35867430873731,3613.0,SAPTAGIRI SANKAR ULAKA,INC,34.358674308737314,False
Andhra Pradesh,Guntur,Jayadev Galla,TDP,43.501983759953944,4205.0,Jayadev Galla,TDP,43.50198375995394,False
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,YSRCP,35.24134626708202,4414.0,M V V SATYANARAYANA,YSRCP,35.241346267082015,False
Maharashtra,Aurangabad,Imtiaz Jaleel Syed,AIMIM,32.46830092278469,4492.0,Imtiaz Jaleel Syed,AIMIM,32.14683259681653,False
Telangana,Bhongir,Komati Reddy Venkat Reddy,INC,43.937108650529304,5219.0,Komati Reddy Venkat Reddy,INC,43.937108650529304,False
Uttar Pradesh,Shrawasti,RAM SHIROMANI,BSP,44.30971898893388,5320.0,RAM SHIROMANI,BSP,45.21399896829987,False
Telangana,Zahirabad,B.B.PATIL,TRS,41.57971590392248,6229.0,B.B.PATIL,TRS,41.57971590392247,False
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,TDP,46.18773054161781,6653.0,KINJARAPU RAM MOHAN NAIDU,TDP,46.18773054161782,False
Jammu & Kashmir,Anantnag,HASNAIN MASOODI,JKN,32.17076607737638,6676.0,HASNAIN MASOODI,JKN,32.17076607737638,False
Chhattisgarh,KANKER,MOHAN MANDAVI,BJP,47.12183389651249,6914.0,MOHAN MANDAVI,BJP,47.12183389651249,False
Haryana,Rohtak,ARVIND KUMAR SHARMA,BJP,47.014471095905115,7503.0,ARVIND KUMAR SHARMA,BJP,47.014471095905115,False
Mizoram,MIZORAM,C LALROSANGA,MNF,44.891227550483265,8140.0,C LALROSANGA,MNF,44.891227550483265,False
