state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,swing,sim_vote_share,sim_rank
Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,MALE,46.0,GENERAL,BJP,Lotus,93772.0,129.0,93901.0,29.484945254041968,45.275750007232475,318471.0,2019,2.0,False,45.29802794072245,5341.0,,2.0,47.29802794072245,1.0
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,FEMALE,46.0,SC,YSRCP,Ceiling Fan,482003.0,3955.0,485958.0,33.29491982493306,39.337104409374376,1459556.0,2019,1.0,True,39.41600866253817,446163.0,39795.0,0.0,39.41600866253817,1.0
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,FEMALE,52.0,GENERAL,YSRCP,Ceiling Fan,583210.0,3016.0,586226.0,38.53294710072481,47.25891123909272,1521363.0,2019,1.0,True,47.33389261609491,497034.0,89192.0,0.0,47.33389261609491,1.0
Andhra Pradesh,Anantapur,TALARI RANGAIAH,MALE,48.0,GENERAL,YSRCP,Ceiling Fan,690901.0,4307.0,695208.0,41.77531006633978,51.56893259768832,1664160.0,2019,1.0,True,51.79206529658662,553780.0,141428.0,0.0,51.79206529658662,1.0
Andhra Pradesh,Aruku,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,Ceiling Fan,557561.0,4629.0,562190.0,38.73384510871438,52.13983964534633,1451418.0,2019,1.0,True,52.31922928737745,338101.0,224089.0,0.0,52.31922928737745,1.0
Andhra Pradesh,Bapatla,NANDIGAM SURESH,MALE,42.0,SC,YSRCP,Ceiling Fan,592250.0,6007.0,598257.0,40.734582489883714,47.10692457783398,1468671.0,2019,1.0,True,47.23732956860367,582192.0,16065.0,0.0,47.23732956860367,1.0
Andhra Pradesh,Chittoor,N. REDDEPPA,MALE,68.0,SC,YSRCP,Ceiling Fan,681325.0,5467.0,686792.0,43.84247931214767,52.04408794856153,1566499.0,2019,1.0,True,52.0505171765676,549521.0,137271.0,0.0,52.0505171765676,1.0
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,MALE,46.0,GENERAL,YSRCP,Ceiling Fan,672834.0,3975.0,676809.0,42.43449637919684,50.80347692931294,1594950.0,2019,1.0,True,50.96748832575383,510884.0,165925.0,0.0,50.96748832575383,1.0
Andhra Pradesh,Guntur,Jayadev Galla,MALE,53.0,GENERAL,TDP,Bicycle,586292.0,1626.0,587918.0,34.45937827314508,43.500277833887154,1706119.0,2019,1.0,True,43.501983759953944,583713.0,4205.0,0.0,43.501983759953944,1.0
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,MALE,50.0,GENERAL,YSRCP,Ceiling Fan,699739.0,6863.0,706602.0,44.77214174467659,52.730430058498825,1578218.0,2019,1.0,True,52.790034321643255,565854.0,140748.0,0.0,52.790034321643255,1.0
