state,total_seats,flipped_seats,close_seats,avg_margin_votes,median_margin_votes,flip_rate_pct
Uttar Pradesh,80,10,11,158304.7375,125711.0,12.5
Andaman & Nicobar Islands,1,0,1,1407.0,1407.0,0.0
Puducherry,1,0,0,197025.0,197025.0,0.0
Manipur,2,0,0,45768.5,45768.5,0.0
Meghalaya,2,0,0,108231.5,108231.5,0.0
Mizoram,1,0,1,8140.0,8140.0,0.0
NCT OF Delhi,7,0,0,391628.4285714286,367043.0,0.0
Nagaland,1,0,1,16344.0,16344.0,0.0
Odisha,21,0,6,80419.57142857143,41634.0,0.0
Punjab,13,0,1,91126.15384615384,83256.0,0.0
Andhra Pradesh,25,0,6,122433.16,137271.0,0.0
Rajasthan,25,0,0,340821.32,323808.0,0.0
Sikkim,1,0,0,12433.0,12433.0,0.0
Tamil Nadu,39,0,2,247058.12820512822,230806.0,0.0
Telangana,17,0,5,115871.5294117647,77829.0,0.0
Tripura,2,0,0,254989.5,254989.5,0.0
Uttarakhand,5,0,0,286813.2,300586.0,0.0
Maharashtra,48,0,1,184654.29166666666,161480.0,0.0
Madhya Pradesh,29,0,0,301686.5172413793,312808.0,0.0
Lakshadweep,1,0,1,823.0,823.0,0.0
Daman & Diu,1,0,0,9942.0,9942.0,0.0
Arunachal Pradesh,2,0,0,122395.5,122395.5,0.0
Assam,14,0,1,179676.42857142858,175150.5,0.0
Bihar,40,0,1,220430.975,244809.5,0.0
Chandigarh,1,0,0,46970.0,46970.0,0.0
Chhattisgarh,11,0,1,133068.72727272726,90511.0,0.0
Dadra & Nagar Haveli,1,0,0,9001.0,9001.0,0.0
Goa,2,0,1,45001.0,45001.0,0.0
Kerala,20,0,2,121800.25,97274.0,0.0
Gujarat,26,0,0,336699.6538461539,325532.5,0.0
Haryana,10,0,1,364838.9,363468.0,0.0
Himachal Pradesh,4,0,0,402542.0,402515.5,0.0
Jammu & Kashmir,6,0,0,129669.33333333333,50141.5,0.0
Jharkhand,14,0,2,251786.5,265563.5,0.0
Karnataka,28,0,2,173330.60714285713,144421.0,0.0
West Bengal,42,0,5,141306.88095238095,109071.0,0.0
