party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
BJP,229076879.0,37.29843953059447,303.0,55.80110497237569,18.502665441781218
INC,119495214.0,19.456284863975494,52.0,9.576427255985267,-9.879857607990226
AITC,24929330.0,4.059008973765679,22.0,4.051565377532229,-0.007443596233450478
BSP,22246501.0,3.6221890918804136,10.0,1.841620626151013,-1.7805684657294005
IND,16583326.0,2.700107425626028,4.0,0.7366482504604052,-1.9634591751656227
SP,15647206.0,2.547687786569482,5.0,0.9208103130755065,-1.6268774734939753
YSRCP,15537006.0,2.5297449542146215,22.0,4.051565377532229,1.5218204233176071
DMK,14363332.0,2.3386466255280722,24.0,4.41988950276243,2.081242877234358
SHS,12858904.0,2.09369472540142,18.0,3.314917127071823,1.2212224016704032
TDP,12515345.0,2.0377562359186316,3.0,0.5524861878453038,-1.4852700480733279
CPIM,10835553.0,1.7642514605371913,3.0,0.5524861878453038,-1.2117652726918875
BJD,10174021.0,1.6565404099620995,12.0,2.209944751381215,0.5534043414191157
JD(U),8926679.0,1.4534474118207603,16.0,2.9465930018416207,1.4931455900208603
NCP,8500331.0,1.384029166005608,5.0,0.9208103130755065,-0.46321885293010157
ADMK,8307345.0,1.3526070657802454,1.0,0.1841620626151013,-1.168445003165144
TRS,7696848.0,1.253205565561145,9.0,1.6574585635359116,0.40425299797476666
RJD,6632247.0,1.0798665703903996,0.0,0.0,-1.0798665703903996
NOTA,6522772.0,1.0620417829852429,0.0,0.0,-1.0620417829852429
SAD,3778574.0,0.6152297624540121,2.0,0.3683241252302026,-0.24690563722380948
VBA,3743560.0,0.6095287612555269,0.0,0.0,-0.6095287612555269
CPI,3576184.0,0.5822764971155359,2.0,0.3683241252302026,-0.21395237188533328
JD(S),3457107.0,0.5628883061144502,1.0,0.1841620626151013,-0.3787262434993489
LJP,3206979.0,0.5221623100050455,6.0,1.1049723756906076,0.582810065685562
AAAP,2716629.0,0.4423232188507305,1.0,0.1841620626151013,-0.2581611562356292
PMK,2297431.0,0.37406914047058054,0.0,0.0,-0.37406914047058054
JnP,1915127.0,0.31182216605504215,0.0,0.0,-0.31182216605504215
JMM,1901976.0,0.3096809120777394,1.0,0.1841620626151013,-0.1255188494626381
NTK,1695074.0,0.27599300010055966,0.0,0.0,-0.27599300010055966
MNM,1613708.0,0.2627449375108543,0.0,0.0,-0.2627449375108543
IUML,1592467.0,0.2592864647154861,3.0,0.5524861878453038,0.2931997231298177
AGP,1480697.0,0.24108800398678662,0.0,0.0,-0.24108800398678662
BLSP,1462518.0,0.23812808793071588,0.0,0.0,-0.23812808793071588
RLD,1447363.0,0.23566054143037196,0.0,0.0,-0.23566054143037196
AIUDF,1402088.0,0.22828883784719337,1.0,0.1841620626151013,-0.044126775232092075
AIMIM,1201542.0,0.1956358137325135,2.0,0.3683241252302026,0.17268831149768907
ADAL,1039478.0,0.16924845272744998,2.0,0.3683241252302026,0.1990756725027526
HAMS,956501.0,0.1557380861184735,0.0,0.0,-0.1557380861184735
DMDK,929590.0,0.15135642040611752,0.0,0.0,-0.15135642040611752
SWP,834380.0,0.1358542691492554,0.0,0.0,-0.1358542691492554
JVM,750799.0,0.12224555888562982,0.0,0.0,-0.12224555888562982
CPI(ML)(L),711715.0,0.11588187776260493,0.0,0.0,-0.11588187776260493
RSP,709685.0,0.11555135190343647,1.0,0.1841620626151013,0.06861071071166482
VSIP,660706.0,0.10757656074274066,0.0,0.0,-0.10757656074274066
RLTP,660051.0,0.10746991323645723,1.0,0.1841620626151013,0.07669214937864406
AJSUP,648277.0,0.10555286325328009,1.0,0.1841620626151013,0.0786091993618212
JNJP,619970.0,0.10094389995501316,0.0,0.0,-0.10094389995501316
BTP,539319.0,0.08781225410880807,0.0,0.0,-0.08781225410880807
VCK,507261.0,0.08259255066387071,1.0,0.1841620626151013,0.10156951195123058
NDPP,500510.0,0.0814933486563602,1.0,0.1841620626151013,0.1026687139587411
BVA,491596.0,0.08004196564718397,0.0,0.0,-0.08004196564718397
LIP,469784.0,0.07649052227763585,0.0,0.0,-0.07649052227763585
BOPF,446774.0,0.07274401980499225,0.0,0.0,-0.07274401980499225
NPEP,425986.0,0.06935930475061089,1.0,0.1841620626151013,0.1148027578644904
KEC(M),421046.0,0.06855497088642751,1.0,0.1841620626151013,0.11560709172867378
BMUP,405949.0,0.06609686798205983,0.0,0.0,-0.06609686798205983
SUCI(C),403835.0,0.06575266519078783,0.0,0.0,-0.06575266519078783
APoI,381070.0,0.06204605377011285,0.0,0.0,-0.06204605377011285
BDJS,380847.0,0.0620097447717904,0.0,0.0,-0.0620097447717904
NPF,363527.0,0.0591896916285402,1.0,0.1841620626151013,0.12497237098656108
PSPL,347026.0,0.05650298857329934,0.0,0.0,-0.05650298857329934
AIFB,322507.0,0.05251078978465317,0.0,0.0,-0.05251078978465317
SBSP,313925.0,0.05111346322140991,0.0,0.0,-0.05111346322140991
UPPL,312435.0,0.05087086049719266,0.0,0.0,-0.05087086049719266
PUNEKP,296620.0,0.04829585238746391,0.0,0.0,-0.04829585238746391
MSHP,281578.0,0.045846704617211624,0.0,0.0,-0.045846704617211624
JKN,280356.0,0.04564773781922943,3.0,0.5524861878453038,0.5068384500260743
UDP,267256.0,0.04351478769356097,0.0,0.0,-0.04351478769356097
AINRC,247956.0,0.0403723497221563,0.0,0.0,-0.0403723497221563
INLD,240258.0,0.03911895658724059,0.0,0.0,-0.03911895658724059
MNF,224286.0,0.036518385640127875,1.0,0.1841620626151013,0.1476436769749734
TMC(M),220849.0,0.03595877116822539,0.0,0.0,-0.03595877116822539
GGP,210088.0,0.03420665847339194,0.0,0.0,-0.03420665847339194
JDL,203369.0,0.03311266672573039,0.0,0.0,-0.03311266672573039
SDPI,169680.0,0.0276274028491163,0.0,0.0,-0.0276274028491163
SKM,166922.0,0.027178343578383963,1.0,0.1841620626151013,0.15698371903671732
NAWPP,161645.0,0.02631913916516622,0.0,0.0,-0.02631913916516622
KEC,155135.0,0.02525917692714319,0.0,0.0,-0.02525917692714319
SDF,154489.0,0.025153994806442294,0.0,0.0,-0.025153994806442294
PPID,153103.0,0.02492832542673416,0.0,0.0,-0.02492832542673416
JPC,133612.0,0.021754788716856002,0.0,0.0,-0.021754788716856002
HND,122972.0,0.020022377317076432,0.0,0.0,-0.020022377317076432
UPJP,120800.0,0.0196687309298282,0.0,0.0,-0.0196687309298282
BSCP,105997.0,0.017258497287822847,0.0,0.0,-0.017258497287822847
VPI,105972.0,0.017254426772315843,0.0,0.0,-0.017254426772315843
JAPL,97631.0,0.015896339978560072,0.0,0.0,-0.015896339978560072
BHAPRAP,92100.0,0.014995779127791202,0.0,0.0,-0.014995779127791202
IPFT,89529.0,0.014577167313051233,0.0,0.0,-0.014577167313051233
JKPDP,84054.0,0.013685724417018041,0.0,0.0,-0.013685724417018041
JANADIP,79975.0,0.01302157910689578,0.0,0.0,-0.01302157910689578
PPOI,77169.0,0.012564704446390004,0.0,0.0,-0.012564704446390004
RPI(A),71524.0,0.011645582044909206,0.0,0.0,-0.011645582044909206
RAHIS,67782.0,0.011036307283821316,0.0,0.0,-0.011036307283821316
