state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,MALE,52.0,GENERAL,INC,Hand,95249.0,59.0,95308.0,29.92674372234835,45.95415577777992,318471.0,2019,1.0,True,45.976767520839765,93901.0,1407.0,0.0,45.976767520839765,1.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,VISHAL JOLLY,MALE,46.0,GENERAL,BJP,Lotus,93772.0,129.0,93901.0,29.484945254041968,45.275750007232475,318471.0,2019,2.0,False,45.29802794072245,5341.0,,0.0,45.29802794072245,2.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PARITOSH KUMAR HALDAR,MALE,61.0,GENERAL,IND,Helicopter,5339.0,2.0,5341.0,1.6770757777003245,2.5752418056104687,318471.0,2019,3.0,False,2.576508953380673,2839.0,,0.0,2.576508953380673,3.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,MALE,49.0,GENERAL,AAAP,Broom,2837.0,2.0,2839.0,0.8914469449337616,1.3688656592638309,318471.0,2019,4.0,False,1.369539209632603,2486.0,,0.0,1.369539209632603,4.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,MALE,43.0,SC,BSP,Elephant,2478.0,8.0,2486.0,0.7806048274411171,1.198661510718522,318471.0,2019,5.0,False,1.1992513121333743,1721.0,,0.0,1.1992513121333743,5.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,AYAN MANDAL,MALE,30.0,GENERAL,AITC,Flowers and Grass,1717.0,4.0,1721.0,0.5403945728182472,0.829805494749226,318471.0,2019,6.0,False,0.830213800555727,1412.0,,0.0,0.830213800555727,6.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,,,,NOTA,,1411.0,1.0,1412.0,0.4433684699705781,0.6808165941812361,318471.0,2019,7.0,False,0.6811515899969126,994.0,,0.0,0.6811515899969126,7.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,HENRY,MALE,50.0,GENERAL,IND,COCONUT FARM,994.0,0.0,994.0,0.3121163308433107,0.4792717383967059,318471.0,2019,8.0,False,0.4795075640629824,914.0,,0.0,0.4795075640629824,8.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,MALE,45.0,GENERAL,IND,Glass Tumbler,914.0,0.0,914.0,0.2869963042160824,0.4406985602561259,318471.0,2019,9.0,False,0.4409154059895029,618.0,,0.0,0.4409154059895029,9.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MINATI BISWAS,FEMALE,51.0,GENERAL,IND,Camera,615.0,3.0,618.0,0.194052205695338,0.2979778011359801,318471.0,2019,10.0,False,0.2981244211176289,475.0,,0.0,0.2981244211176289,10.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,S SUDERSHAN RAO,MALE,58.0,GENERAL,IND,Boat with Man and Sail,475.0,0.0,475.0,0.1491501580991676,0.2290282452096934,318471.0,2019,11.0,False,0.2291409385612843,306.0,,0.0,0.2291409385612843,11.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,MALE,51.0,GENERAL,IND,Basket containing Fruits,305.0,1.0,306.0,0.0960841018491479,0.1475424063877183,318471.0,2019,12.0,False,0.1476150046310589,275.0,,0.0,0.1476150046310589,12.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K KALIMUTHU,MALE,66.0,GENERAL,IND,Television,269.0,6.0,275.0,0.086350091531097,0.1325952998582436,318471.0,2019,13.0,False,0.1326605433775856,273.0,,0.0,0.1326605433775856,13.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C U RASHEED,MALE,34.0,GENERAL,IND,Battery Torch,272.0,1.0,273.0,0.0857220908654163,0.131630970404729,318471.0,2019,14.0,False,0.1316957394257487,221.0,,0.0,0.1316957394257487,14.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,MALE,51.0,GENERAL,IND,Auto- Rickshaw,221.0,0.0,221.0,0.0693940735577179,0.1065584046133521,318471.0,2019,15.0,False,0.106610836677987,212.0,,0.0,0.106610836677987,15.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,MALE,48.0,GENERAL,AINHCP,Tractor Chalata Kisan,212.0,0.0,212.0,0.0665680705621547,0.1022189220725368,318471.0,2019,16.0,False,0.1022692188947206,,,0.0,0.1022692188947206,16.0
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,FEMALE,46.0,SC,YSRCP,Ceiling Fan,482003.0,3955.0,485958.0,33.29491982493306,39.337104409374376,1459556.0,2019,1.0,True,39.41600866253817,446163.0,39795.0,0.0,39.41600866253816,1.0
Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),MALE,28.0,SC,TDP,Bicycle,443590.0,2573.0,446163.0,30.56840573434661,36.115797074232134,1459556.0,2019,2.0,False,36.18823987444186,255317.0,,0.0,36.188239874441855,2.0
Andhra Pradesh,Amalapuram,D M R SEKHAR,MALE,59.0,SC,JnP,Glass Tumbler,253740.0,1577.0,255317.0,17.492785477227322,20.667282947267537,1459556.0,2019,3.0,False,20.70873837593631,16468.0,,0.0,20.708738375936306,3.0
Andhra Pradesh,Amalapuram,NOTA,,,,NOTA,,16427.0,41.0,16468.0,1.128288328779437,1.3330440807921202,1459556.0,2019,4.0,False,1.335717964627969,11534.0,,0.0,1.3357179646279689,4.0
Andhra Pradesh,Amalapuram,AYYAJI VEMA MANEPALLI,MALE,58.0,SC,BJP,Lotus,11376.0,158.0,11534.0,0.7902403196588551,0.9336489208074032,1459556.0,2019,5.0,False,0.9355216786506556,7887.0,,0.0,0.9355216786506556,5.0
Andhra Pradesh,Amalapuram,JANGA GOUTHAM,MALE,49.0,SC,INC,Hand,7849.0,38.0,7887.0,0.5403698110932366,0.6384332441831098,1459556.0,2019,6.0,False,0.6397138442446437,2775.0,,0.0,0.6397138442446436,6.0
Andhra Pradesh,Amalapuram,REVU SUDHAKAR,MALE,34.0,SC,IND,Gas Stove,2774.0,1.0,2775.0,0.1901263123854103,0.2246294221640839,1459556.0,2019,7.0,False,0.225079994646746,1954.0,,0.0,0.22507999464674594,7.0
Andhra Pradesh,Amalapuram,MORTHA SIVA RAMA KRISHNA,MALE,29.0,SC,PPOI,FLUTE,1950.0,4.0,1954.0,0.1338763295139069,0.1581714922193225,1459556.0,2019,8.0,False,0.1584887601945015,1804.0,,0.0,0.15848876019450148,8.0
Andhra Pradesh,Amalapuram,PANTHAGADA VIJAYA CHAKRAVARTHY,MALE,65.0,SC,RPI(KH),Gas Cylinder,1804.0,0.0,1804.0,0.123599231547128,0.1460293612915341,1459556.0,2019,9.0,False,0.1463222739973801,1804.0,,0.0,0.14632227399738007,9.0
Andhra Pradesh,Amalapuram,MURALIKRISHNA KANDERI,MALE,41.0,SC,IPBP,Trumpet,1803.0,1.0,1804.0,0.123599231547128,0.1460293612915341,1459556.0,2019,10.0,False,0.1463222739973801,1231.0,,0.0,0.14632227399738007,10.0
Andhra Pradesh,Amalapuram,CHELLE RAJANI,MALE,30.0,SC,JAJGP,Mike,1231.0,0.0,1231.0,0.0843407173140324,0.0996464211473828,1459556.0,2019,11.0,False,0.0998462967243763,,,0.0,0.09984629672437628,11.0
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,FEMALE,52.0,GENERAL,YSRCP,Ceiling Fan,583210.0,3016.0,586226.0,38.53294710072481,47.25891123909272,1521363.0,2019,1.0,True,47.33389261609491,497034.0,89192.0,0.0,47.33389261609491,1.0
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,MALE,43.0,GENERAL,TDP,Bicycle,495381.0,1653.0,497034.0,32.6703094527736,40.06865217307184,1521363.0,2019,2.0,False,40.13222542594173,82588.0,,0.0,40.13222542594173,2.0
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,MALE,56.0,GENERAL,JnP,Glass Tumbler,82126.0,462.0,82588.0,5.42855321182387,6.65787420110024,1521363.0,2019,3.0,False,6.668437639030078,34897.0,,0.0,6.668437639030078,3.0
Andhra Pradesh,Anakapalli,NOTA,,,,NOTA,,34877.0,20.0,34897.0,2.2937983899963386,2.8132396473554886,1521363.0,2019,4.0,False,2.8177031565025503,13276.0,,0.0,2.8177031565025503,4.0
Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),MALE,65.0,GENERAL,BJP,Lotus,12888.0,388.0,13276.0,0.8726385484595064,1.0702515849010366,1521363.0,2019,5.0,False,1.0719496548622478,10121.0,,0.0,1.0719496548622478,5.0
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,MALE,49.0,GENERAL,INC,Hand,10072.0,49.0,10121.0,0.665258718662147,0.8159096332316503,1521363.0,2019,6.0,False,0.8172041621618567,4444.0,,0.0,0.8172041621618567,6.0
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,MALE,46.0,SC,DABAP,Cup & Saucer,4443.0,1.0,4444.0,0.292106486091748,0.3582553512579245,1521363.0,2019,7.0,False,0.3588237621428012,3765.0,,0.0,0.3588237621428012,7.0
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,MALE,37.0,GENERAL,IND,Laptop,3760.0,5.0,3765.0,0.2474754545759296,0.3035174161759869,1521363.0,2019,8.0,False,0.3039989794031608,2716.0,,0.0,0.3039989794031608,8.0
Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,MALE,57.0,GENERAL,CPI(ML)(L),Flag with Three Stars,2708.0,8.0,2716.0,0.1785241260632735,0.2189517403277504,1521363.0,2019,9.0,False,0.2192991309585616,1803.0,,0.0,0.21929913095856157,9.0
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,FEMALE,65.0,GENERAL,PPOI,FLUTE,1801.0,2.0,1803.0,0.1185121499602658,0.1453497745990184,1521363.0,2019,10.0,False,0.1455803877460554,1621.0,,0.0,0.1455803877460554,10.0
