state,lok_sabha_no,lok_sabha_constituency,assembly_no,assembly_constituency,district,district_role,match_method,mapping_confidence,matched_assembly_no,matched_assembly_constituency,source,notes
Andhra Pradesh,1,ADILABAD,1.0,Sirpur,ADILABAD,primary,by_number,high,1,"Sirpur Kouthala, Bejjur, Kagaznagar, Sirpur (T) and Dahegaon",delimitation_order_2008,
Andhra Pradesh,1,ADILABAD,5.0,Asifabad,ADILABAD,primary,by_number,high,5,"Asifabad (ST) Kerameri, Wankdi, Sirpur (U), Asifabad, Jainoor, Narnoor",delimitation_order_2008,
Andhra Pradesh,1,ADILABAD,6.0,Khanapur,ADILABAD,primary,by_number,high,6,"Khanapur (ST) Jannaram, Utnoor, Kaddam (Peddur), Khanapur and Indervelly",delimitation_order_2008,
Andhra Pradesh,1,ADILABAD,7.0,Adilabad,ADILABAD,primary,by_number,high,7,"Adilabad Adilabad, Jainath and Bela Mandals",delimitation_order_2008,
Andhra Pradesh,1,ADILABAD,8.0,Boath,ADILABAD,primary,by_number,high,8,"Boath (ST) Tamsi, Talamadugu, Gudihathnoor, Ichoda, Bazarhathnoor",delimitation_order_2008,
Andhra Pradesh,1,ADILABAD,9.0,Nirmal,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,1,ADILABAD,10.0,Mudhole,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,2,PEDDAPALLE,2.0,Chennur,ADILABAD,secondary,by_number,high,2,"Chennur (SC) Jaipur, Chennur, Kotapalli and Mandamarri Mandals",delimitation_order_2008,
Andhra Pradesh,2,PEDDAPALLE,3.0,Bellampalli,ADILABAD,secondary,by_number,high,3,"Bellampalli (SC) Kasipet, Tandur, Bellampalli, Bhimini, Nennal and Vemanpalli",delimitation_order_2008,
Andhra Pradesh,2,PEDDAPALLE,4.0,Mancherial,ADILABAD,secondary,by_number,high,4,"Mancherial Luxettipet, Mancherial and Dandepalli Mandals",delimitation_order_2008,
Andhra Pradesh,2,PEDDAPALLE,22.0,Dharmapuri,KARIMNAGAR,primary,by_number,high,22,"Dharmapuri (SC) Dharmapuri, Dharmaram, Gollapalle, Velgatoor and Pegadapalle",delimitation_order_2008,
Andhra Pradesh,2,PEDDAPALLE,23.0,Ramagundam,KARIMNAGAR,primary,by_number,high,23,Ramagundam Ramagundam Mandal,delimitation_order_2008,
Andhra Pradesh,2,PEDDAPALLE,24.0,Manthani,KARIMNAGAR,primary,by_number,high,24,"Manthani Kamanpur, Manthani, Kataram, Mahadevpur, Mutharam",delimitation_order_2008,
Andhra Pradesh,2,PEDDAPALLE,25.0,Peddapalle,KARIMNAGAR,primary,by_number,high,25,"Peddapalle Peddapalle, Julapalle, Eligaid, Sultanabad, Odela and Srirampur",delimitation_order_2008,
Andhra Pradesh,3,KARIMNAGAR,26.0,Karimnagar,KARIMNAGAR,primary,by_number,high,26,Karimnagar Karimnagar Mandal,delimitation_order_2008,
Andhra Pradesh,3,KARIMNAGAR,27.0,Choppadandi,KARIMNAGAR,primary,by_number,high,27,"Choppadandi (SC) Gangadhara, Ramadugu, Choppadandi, Mallial, Kodimial and",delimitation_order_2008,
