state,lok_sabha_no,lok_sabha_constituency,assembly_no,assembly_constituency,district,district_role,match_method,mapping_confidence,matched_assembly_no,matched_assembly_constituency,source,notes
Andhra Pradesh,1,ADILABAD,9.0,Nirmal,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,1,ADILABAD,10.0,Mudhole,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,8,SECUNDERABAD,57.0,Musheerabad,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,11,MAHBUBNAGAR,84.0,Shadnagar,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,12,NAGARKURNOOL,82.0,Achampet,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,12,NAGARKURNOOL,83.0,Kalwakurthy,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,12,NAGARKURNOOL,85.0,Kollapur,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,86.0,Devarakonda,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,87.0,Nagarjuna Sagar,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,88.0,Miryalaguda,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,89.0,Huzurnagar,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,90.0,Kodad,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,91.0,Suryapet,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,13,NALGONDA,92.0,Nalgonda,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
Andhra Pradesh,14,BHONGIR,93.0,Munugode,,unknown,unmatched,low,,,delimitation_order_2008,assembly_no_missing_in_table_a
