state,lok_sabha_constituency,district,assembly_segments_in_district,total_assembly_segments,district_segment_share
Tamil Nadu,ARAKKONAM,VELLORE,5,6,0.8333
Tamil Nadu,ARAKKONAM,THIRUVALLUR,1,6,0.1667
Tamil Nadu,ARANI,TIRUVANNAMALAI,4,6,0.6667
Tamil Nadu,ARANI,VILUPPURAM,2,6,0.3333
Tamil Nadu,CHENNAI CENTRAL,CHENNAI,5,5,1.0
Tamil Nadu,CHENNAI NORTH,CHENNAI,5,6,0.8333
Tamil Nadu,CHENNAI NORTH,THIRUVALLUR,1,6,0.1667
Tamil Nadu,"CHENNAI SOUTH 22Virugambakkam, 23Saidapet, 24 Thiyagarayanagar",CHENNAI,2,3,0.6667
Tamil Nadu,"CHENNAI SOUTH 22Virugambakkam, 23Saidapet, 24 Thiyagarayanagar",KANCHEEPURAM,1,3,0.3333
Tamil Nadu,CHIDAMBARAM,PERAMBALUR,3,5,0.6
Tamil Nadu,CHIDAMBARAM,CUDDALORE,2,5,0.4
Tamil Nadu,COIMBATORE,COIMBATORE,4,4,1.0
Tamil Nadu,CUDDALORE,CUDDALORE,6,6,1.0
Tamil Nadu,DHARMAPURI,DHARMAPURI,5,6,0.8333
Tamil Nadu,DHARMAPURI,SALEM,1,6,0.1667
Tamil Nadu,DINDIGUL,DINDIGUL,6,6,1.0
Tamil Nadu,ERODE,ERODE,2,3,0.6667
Tamil Nadu,ERODE,NAMAKKAL,1,3,0.3333
Tamil Nadu,KALLAKURICHI,VILUPPURAM,3,5,0.6
Tamil Nadu,KALLAKURICHI,SALEM,2,5,0.4
Tamil Nadu,KANCHEEPURAM,KANCHEEPURAM,6,6,1.0
Tamil Nadu,KANNIYAKUMARI,KANNIYAKUMARI,5,5,1.0
Tamil Nadu,KARUR,KARUR,3,6,0.5
Tamil Nadu,KARUR,DINDIGUL,1,6,0.1667
Tamil Nadu,KARUR,PUDUKKOTTAI,1,6,0.1667
Tamil Nadu,KARUR,TIRUCHIRAPPALLI,1,6,0.1667
Tamil Nadu,KRISHNAGIRI,KRISHNAGIRI,6,6,1.0
Tamil Nadu,MADURAI,MADURAI,6,6,1.0
Tamil Nadu,MAYILADUTHURAI,NAGAPATTINAM,3,6,0.5
Tamil Nadu,MAYILADUTHURAI,THANJAVUR,3,6,0.5
Tamil Nadu,NAGAPATTINAM,NAGAPATTINAM,3,6,0.5
Tamil Nadu,NAGAPATTINAM,THIRUVARUR,3,6,0.5
Tamil Nadu,NAMAKKAL,NAMAKKAL,5,6,0.8333
Tamil Nadu,NAMAKKAL,SALEM,1,6,0.1667
Tamil Nadu,NILGIRIS,THE NILGIRIS,3,5,0.6
Tamil Nadu,NILGIRIS,COIMBATORE,1,5,0.2
Tamil Nadu,NILGIRIS,ERODE,1,5,0.2
Tamil Nadu,PERAMBALUR,TIRUCHIRAPPALLI,4,5,0.8
Tamil Nadu,PERAMBALUR,KARUR,1,5,0.2
Tamil Nadu,POLLACHI,COIMBATORE,6,6,1.0
Tamil Nadu,RAMANATHAPURAM,RAMANATHAPURAM,4,6,0.6667
Tamil Nadu,RAMANATHAPURAM,PUDUKKOTTAI,1,6,0.1667
Tamil Nadu,RAMANATHAPURAM,VIRUDHUNAGAR,1,6,0.1667
Tamil Nadu,SALEM,SALEM,3,3,1.0
Tamil Nadu,SIVAGANGA,SIVAGANGA,3,5,0.6
Tamil Nadu,SIVAGANGA,PUDUKKOTTAI,2,5,0.4
Tamil Nadu,SRIPERUMBUDUR,KANCHEEPURAM,4,6,0.6667
Tamil Nadu,SRIPERUMBUDUR,THIRUVALLUR,2,6,0.3333
Tamil Nadu,TENKASI,TIRUNELVELI,4,6,0.6667
Tamil Nadu,TENKASI,VIRUDHUNAGAR,2,6,0.3333
Tamil Nadu,THANJAVUR,THANJAVUR,5,6,0.8333
Tamil Nadu,THANJAVUR,THIRUVARUR,1,6,0.1667
Tamil Nadu,THENI,THENI,4,6,0.6667
Tamil Nadu,THENI,MADURAI,2,6,0.3333
Tamil Nadu,THOOTHUKKUDI,THOOTHUKKUDI,6,6,1.0
Tamil Nadu,TIRUCHIRAPPALLI,PUDUKKOTTAI,2,4,0.5
Tamil Nadu,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,2,4,0.5
Tamil Nadu,TIRUNELVELI,TIRUNELVELI,6,6,1.0
Tamil Nadu,TIRUPPUR,ERODE,4,4,1.0
Tamil Nadu,TIRUVALLUR,THIRUVALLUR,6,6,1.0
Tamil Nadu,TIRUVANNAMALAI,TIRUVANNAMALAI,4,6,0.6667
Tamil Nadu,TIRUVANNAMALAI,VELLORE,2,6,0.3333
Tamil Nadu,VELLORE,VELLORE,6,6,1.0
Tamil Nadu,VILUPPURAM,VILUPPURAM,6,6,1.0
Tamil Nadu,VIRUDHUNAGAR,VIRUDHUNAGAR,4,6,0.6667
Tamil Nadu,VIRUDHUNAGAR,MADURAI,2,6,0.3333
