state,constituency,state_key,constituency_key,manual_summary,manual_electoral_movement,manual_key_factors,manual_demographic_context,manual_local_context,manual_what_to_watch,manual_confidence,analyst_name,last_reviewed,source_notes
Maharashtra,Amravati,MAHARASHTRA,AMRAVATI,,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,,,,,,,,,,
Karnataka,Hassan,KARNATAKA,HASSAN,,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,,,,,,,,,,
Rajasthan,JAIPUR RURAL,RAJASTHAN,JAIPUR RURAL,,,,,,,,,,
Maharashtra,Mumbai North West,MAHARASHTRA,MUMBAI NORTH WEST,,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,,,,,,,,,,
Maharashtra,Baramati,MAHARASHTRA,BARAMATI,,,,,,,,,,
Maharashtra,Mumbai South,MAHARASHTRA,MUMBAI SOUTH,,,,,,,,,,
Punjab,Anandpur Sahib,PUNJAB,ANANDPUR SAHIB,,,,,,,,,,
Maharashtra,Beed,MAHARASHTRA,BEED,,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,,,,,,,,,,
Uttar Pradesh,Dhaurahra,UTTAR PRADESH,DHAURAHRA,,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,,,,,,,,,,
Punjab,Firozpur,PUNJAB,FIROZPUR,,,,,,,,,,
Uttar Pradesh,Hamirpur,UTTAR PRADESH,HAMIRPUR,,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,,,,,,,,,,
Telangana,Mahbubnagar,TELANGANA,MAHBUBNAGAR,,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,,,,,,,,,,
Tamil Nadu,ARANI,TAMIL NADU,ARANI,,,,,,,,,,
Uttar Pradesh,Allahabad,UTTAR PRADESH,ALLAHABAD,,,,,,,,,,
Uttar Pradesh,Amroha,UTTAR PRADESH,AMROHA,,,,,,,,,,
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,,,,,,,,,,
Uttar Pradesh,Baghpat,UTTAR PRADESH,BAGHPAT,,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,,,,,,,,,,
Uttar Pradesh,Bijnor,UTTAR PRADESH,BIJNOR,,,,,,,,,,
Tamil Nadu,CUDDALORE,TAMIL NADU,CUDDALORE,,,,,,,,,,
Telangana,Chevella,TELANGANA,CHEVELLA,,,,,,,,,,
Punjab,Faridkot,PUNJAB,FARIDKOT,,,,,,,,,,
Rajasthan,GANGANAGAR,RAJASTHAN,GANGANAGAR,,,,,,,,,,
Uttar Pradesh,Ghosi,UTTAR PRADESH,GHOSI,,,,,,,,,,
Punjab,Gurdaspur,PUNJAB,GURDASPUR,,,,,,,,,,
Maharashtra,Hingoli,MAHARASHTRA,HINGOLI,,,,,,,,,,
Punjab,Hoshiarpur,PUNJAB,HOSHIARPUR,,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,,,,,,,,,,
Karnataka,Kolar,KARNATAKA,KOLAR,,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,,,,,,,,,,
